imo,vessel_name
9229025,"TALIA (ранее SEA CROWN, NOTUS)"
9229532,ORACLIFF (бывш. CLIFFWATER)
9230050,EXCALIBUR
9230062,MARIGOLD LNGТип судна: Газовоз (LNG Tanker)
9230878,SA CAPRICORN
9230969,LA BALENA
9231468,
9231509,"CHIOS (ранее: TREND, MM STRENGTH, SPM STRENGTH)"
9231511,YONG TAI
9231602,LEVANTO (ранее: ST VANESSA)
9231690,TIANZE
9231705,HALIMA (ранее: VALDAOSTA)
9232711,DA QING 452
9233208,FAAS
9233753,ATILA
9233935,CHIE MARU
9234587,
9235268,SA EUROPE
9235725,BLACK MARLIN (текущее название)
9236614,ETYFA PROMETHEAS
9236901,OCEAN GAS
9237620,ITG AMOY
9237785,NIRETAIMO номер: 9237785
9238040,SINGAPORE ENERGY
9238052,FREYA
9239460,CALM LAKE
9239630,
9239654,MATRIX S. ILU (ранее: JINAN)
9239848,NORDIC POLLUX
9239977,LOANNA
9240172,ENCELIA
9240902,KYOKUSHO MARU
9241815,ST ZEEZEE (ранее: CIELO DI MILANO)
9243033,DESH GAURAV
9243148,
9243320,YEHOPE
9244623,HARMONY STAR
9244867,SA JEWEL
9245691,DA QING 453
9245706,DA QING 454
9245720,STI EXCEL
9245794,LATTAFA
9246463,FUXI
9246578,CADIZ KNUTSEN
9246621,PORTOVYY
9246633,SA OCEANIA
9247792,CECILA
9247821,BALSA
9247986,AVA 10
9248409,NS COLUMBUS
9248423,"ALKEBULAN (ранее: NORDIC APOLLO, GLYFADA SPIRIT, EURO SPIRIT)"
9248813,ARINA
9248825,
9248837,PETROGARUDA
9249087,DRACO
9249178,NUSA MERDEKA
9249336,LYCASTE PEACE
9250191,MERCHANT
9250488,CELESTE I
9250622,RENE (бывш. KAIMON II)IMO номер: 9250622
9250725,HONGKONG ENERGY
9250751,BOW FIRDA
9251028,KESTREL
9251509,CRYSTAL VLADIVOSTOK
9251523,APREX
9251535,CORONA (ex. MARITIME MAISIE)
9251547,RADHIKA
9251810,"BLUEBELL (ранее: CROSS OCEAN, BRITISH LAUREL)"
9252072,TRIMA
9252448,IVY PEARL (бывш. BOURDA)
9253222,SHANDONG JUNIPER
9253284,FSRU TOSCANA (ранее: GOLAR FROST)
9253703,RAAHI
9253715,ENERGOS PRINCESS
9254850,CAMILLA
9254915,SCALER
9254927,ENDEAVOR
9254977,"TRESFJORD (бывш. VADERO HIGHLANDER, CLIPPER HIGHLANDER, CRESCENT HIGHLANDER, MONTIPORA)"
9255490,SEARAY
9255684,
9255880,"PHENIX VI (бывшие названия: ZEPHYR I, ZHEN I, ALFA ITALIA)"
9256078,LITEYNY PROSPECT
9256298,ALFONSO
9256432,BIT POWERIMO номер: 9256432
9256602,ARCTIC PIONEER
9256834,SYNERGY STAR
9256858,INDA
9256860,GALLILEO
9256896,HAKUSEI MARU NO. 37
9256913,ELMO
9256975,TORM LOUISE
9257541,KYOKURYU MARU
9258002,KAZAN
9258894,GOLDEN SPLENDOR
9259290,
9259329,FUSION ENERGY
9259331,SUGAR APPLUS (бывшее название EURODESTINY)
9259745,ETERNAL PEACE
9260079,PIONEER (прежние названия: MOUNT FUJI)
9260603,SHINJU MARU NO.1
9261205,MUTIARA
9261396,STEF
9261401,QUARTZ
9262209,LNG AKWA IBOM
9262754,ATILA
9262900,M PEARL
9263734,DESH SHAKTI
9263746,STI PUSAN
9265354,AZTEC
9265744,RESTON
9265873,"KAMELOT (ранее: Karema, Seaways Alcmar, Overseas Alcmar, Alcmar)"
9265885,SEA MAVERICK
9266267,STOLT BETULA
9266425,THUN GRANITE (бывш. BRO GRANITE)
9266803,YUYO MARU
9266994,LNG ENUGU
9267003,LNG OYO
9267015,LNG BENUE
9268277,PAUL E.
9269180,ENERGY ADVANCE
9270488,
9270529,KRYMSKIMO номер: 9270529
9271248,ARCTIC PRINCESS
9271377,TRIDENT HOPE
9271999,
9272204,CHAMPION CONCEPT
9272723,GOLDEN GULLIVER
9272735,"W NORTH (бывш. BOMAR QUEST, ESHIPS QUEST, NAVITAS QUEST)"
9273064,HEATHER KNUTSEN
9273246,STARWAY
9273351,ETERNAL
9273650,"SEAWAY (ранее BRUNO, ENDEAVOUR)"
9274082,TM HAI HA 568
9274434,NS LEO
9274484,TORM LOUISE
9274616,DEIMOS
9274666,KOCATEPE
9274800,ASTRAL
9275074,PIONEER KNUTSEN
9275256,"SIYA RAM (ранее: MAERSK RYE, ANWAAR LIBYA)IMO номер: 9275256"
9275347,LALLA FATMA N'SOUMERIMO номер: 9275347
9276224,WENZHOU STAR
9276389,ARCTIC DISCOVERER
9276561,SHENZHEN
9276597,HAFNIA NILE
9277620,LNG DREAM
9281009,JI HANG
9281011,EKSPANDER
9281425,RANGVER
9281578,
9281580,"NEW VENTURE (ранее BLUE OCEAN, IOANNIS I)"
9281798,"LIBERTAD VI (ранее CLIPPER BEAUNE, CRESCENT BEAUNE)"
9282053,ASIA ASCEND
9283722,"BOURBON (ранее VICTOR 1, SPIRIT)"
9283772,SIRIUS (историческое название: HMAS SIRIUS)
9283801,NOVA
9284192,ARCTIC LADY
9284415,SEA LION
9284685,CHEMROAD ECHOIMO номер: 9284685
9284788,DHAN LAXMI (бывшее название: OCEAN SUNRISE)
9285196,SENIORITY (бывшее название: SUPERIORITY)
9285706,CORONET
9286073,RCELEBRA
9286554,LUCKY CHEM
9287936,KIZOMBA B FPSO
9288356,ROCK
9288708,AURO
9288813,CHAMPION ENDURANCE
9288899,"NORELIA (бывшие названия: EUROVOYAGER, TOLEDO SPIRIT, ROCKY RUNNER)"
9288930,PACIFICOS
9289178,
9289518,"PASIPHAE (бывшие названия: PACKARD, PHONIX WAY, AJAX, WESTERN BALTIC)"
9289752,SAVITRI
9290517,
9291248,
9292113,SOMBEKE
9292204,AMAZON
9292278,VERA
9292498,NIOVI
9292515,PELAGOS
9293002,"NASLEDIE (бывш. BLINT, ARGENT, JAGUAR, S PUMA, SIGNAL PUMA)"
9293143,"KASPER (ранее TITAN, CLASSIC, RIDGEBURY PALLAS, CAPE BRINDISI)"
9293507,OCEAN START (ранее известное как JAG LOK)
9294068,SOUTHERN EMPEROR
9294290,KIRIN STAR
9294563,PIS PIONEER
9295270,PETREL 1
9296377,MARJORIEТип судна: Нефтяной танкер (Suezmax)
9296389,VALTHERA
9296406,RIGEL
9296688,HAKUSEI MARU NO.15
9296884,DS ROSA
9297137,LOTUS (бывш. STOC PETREA)
9297357,NOVATOR
9297711,INCHEON CHEMI
9298272,VALENTE
9298399,AL THAKHIRAТип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker)
9298492,"TOA PAYOH (бывшие названия: NORTHERN OCEAN, NORTH POINT)"
9298650,AMALTHEA
9298739,
9299159,FRIEND
9299563,NORTH STAR
9299707,GUANYIN
9299719,OTLA
9299733,NAGARJUNA
9299874,"VIREL (ранее: VIPER, BEKS ROSE, NCC NAJD)"
9300544,ROSEANNE
9300788,DOLPHIN 06
9300817,KOSMOS
9301029,
9301524,DENEB (бывш. PALMER)
9301744,VICTORY (ранее ICE VICTORY)
9301873,
9302657,TOTAL ENERGY
9302669,TENDER HARMONY
9302982,LIRICA
9303247,"GREEN EAGLE (ранее: NORDIC CASTOR, ROMANTIC)"
9303649,CHEMROAD HAYA
9303728,CHRYSOPIGI
9304306,MARINA AMAN
9304588,PEACE GULF
9304605,MINERVA SYMPHONY
9305180,PATALYA
9305611,PROMITHEASIMO номер: 9305611
9305623,PROPONTIS
9305867,MINERVA RITA
9306081,JADE
9306639,
9306641,
9306811,NCC QASSIM
9307176,AL DEEBEL
9307750,JAG VASANTТип судна: Газовоз СПГ/СУГ (LPG Tanker)
9307786,PM REGALIA
9307932,THIRTY ONE
9308089,DE XI
9308534,MARITIME NORDIC
9308986,LIAN SHUN HU
9309241,EVROTAS
9310161,RENADIMO номер: 9310161
9310525,QENDIL
9310850,REGIN
9312511,"MONACO LOYALTY (ранее NEPTUN, MAERSK NEPTUNE)"
9312860,ELYSARIA
9312884,KEMEROVO
9313125,HAWKS PROGRESS
9313137,YAMATOGAWA
9313474,MOSTAR
9313498,JACKLYN
9313838,HOSEI MARU NO.7
9314416,SHUNHO MARU
9314753,TRANS EXETER (бывшее название: CAPE EXETER)
9315056,MTM MISSISSIPPI
9315367,CHLOE
9315393,BOW FLOWER
9315680,PINE GAS
9315719,LNG NOBLEТип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker)
9315721,STOLT SUIRE
9315783,SEAVICTORY
9315903,BOSPOROS
9315939,CHAMPION POLAR
9317078,MARVELS
9317200,NORTH PIONEER
9317298,ZIXUAN
9317315,LUCH
9317999,AMUR RIVER
9318010,MINERVA XANTHE
9318149,ORPHEAS
9318228,ZEA LILIAN
9318230,AMAK SWAN
9318618,GAZ CRYSTAL
9320374,
9320714,KINYRAS
9320752,
9321160,KITION M
9321184,SANMAR SAROD
9321225,GAS MIA (ранее GAS FRIEND)
9321457,SOLO 7
9321562,
9321691,BARQ
9322267,ASGARD
9322657,YUYO
9323986,GARASAN
9324100,TORM STIGNE
9324289,KRITI STATE
9324318,PALOMA
9324344,CHEIKH BOUAMAMAIMO номер: 9324344
9324590,SPRING ALPHA
9324734,JAG VIKRAM
9325037,COSMERRY LAKE
9325348,PURITY
9325685,AL MARROUNA
9325893,TANGGUH TOWUTI
9326067,TEJAS
9326598,GREEN ASHA
9326809,DESH ABHIMAAN
9326811,AEGEAN HORIZON
9326902,ASHA
9327011,CAPOEIRA
9327140,SEA FORTUNE
9327281,"MONJASA PROVIDER (бывш. SKAW PROVIDER, BROVIG WIND)"
9327451,"CHAMPION ARCTIC (бывшее название: SEAWAYS GALLE, APOSTOLOS)"
9329655,PROXIMA
9329758,SEA 1
9329796,KIKU
9330173,KOKUHO MARU
9330343,LONDON STAR
9330381,BEGONIA
9330393,THAI CHEMI (бывш. ORIENTAL ROSE)
9330771,
9330874,ASTRA MARIS
9331660,SERI BALHAF
9331672,SERI BALQIS
9332042,AL JABIRAH
9332171,VIRENT
9332535,SEA V
9333242,THARINEE NAREE
9333400,NOBLE
9333424,PHOTON
9333436,SOLARIS
9333618,COOL ROVER
9333785,SEADAR
9334076,EJNAN
9334222,WHITHAVEN (бывш. GALP MARINE)
9334571,"SANMAR SUPARNA (исторически: EAGLE HOPE, TWO MILLION WAYS)"
9334739,OLIB
9335032,MRC SEDEF (ранее: NCC RABIGH)
9335094,VARG.
9335109,EASUNHO
9335408,DONG HAI 210
9336397,LILLESAND (бывшее название: SPT CHAMPION)
9336414,
9337171,COSPEARL LAKE
9337341,OCEANID
9337523,ATLANTIS AMSTERDAM
9337731,TEMBEK
9337743,GAS CHEM ATLANTIC
9337755,MOZAH
9337963,AL SAFLIYA
9337975,DUHAIL
9338797,SESTAO KNUTSEN
9338929,GRAND MEREYA
9339260,SEAPEAK ARWA
9339313,LADOGA
9340427,LILA CONFIDENCE
9340441,EASTERLY BEECH GALAXY (бывшее название: BEECH GALAXY)
9340465,MULAN
9340477,OCTONAUTIMO номер: 9340477
9340908,"PLEVNE (бывш. CURACAO TRADER, CLIPPER KITTY)"
9341380,"RATHBONE (ранее EMOCEAN, HANZE MANGALORE и др.)"
9341689,LNG JUPITER
9341940,"SEA LA VIDA (бывшие названия: DANSHIP TOPE, PELAGIC TOPE, HAFNIA RHINE, BW RHINE)"
9342023,YU LAN
9342401,GAS EMERALD
9342487,"SEAPEAK MAGELLAN (ранее: MAGELLAN SPIRIT, MAERSK MAGELLAN)"
9343340,
9343352,ALQADISIA
9344423,RUBIKON 202
9344825,LIAN XING HU
9344930,ZUN YI TAN
9346457,CHEM RON
9346744,MA JIN
9346926,CORAL MEDUSA (бывш. CASTEL DELL'OVO)
9346952,ASHOKA
9347217,SHINSEI MARU
9347308,AURA MARIS
9349784,
9350604,NY LORD
9350642,
9350654,RUBY CROSS
9350757,"HEINRICH (предыдущие названия: JUTLANDIA SWAN, BESIKTAS ENGLAND)"
9350898,CORAL LACERA (бывш. CORAL NETTUNO)
9350927,TRINITY GLORY
9351634,ZONDAR
9351919,GREEN SARITA
9351921,
9351971,PACIFIC ENLIGHTEN
9352133,CARIBE LUNA
9352200,STOLT SAGALAND
9352262,HD PETROL
9352860,GASLOG SAVANNAH
9352963,GAS CAMELOT
9353149,ARTEMIDA
9353541,HATTERAS TRADER
9353577,OVERSEAS NIKISKI
9353606,
9353797,PLATA SOUTH
9354313,JASMINE (бывш. ZALIV AMURSKIY)
9354480,KYOEI MARU (вероятное обозначение в регистрах для этого IMO)
9354612,PINAR GAS
9356892,SHIVALIK
9357614,AFRICAN RUBY (бывшее название: CHER)
9358292,"PLATA LUCKY (бывшее название: MAERSK NEWTON, NEWTON)"
9358319,AVYAAN
9358321,HANSA OSLO
9358929,EVRIDIKI
9359363,BRAVE OCEAN
9359399,"XING TONG 789 (бывш. GULF MIRDIF, STOLT GULF MIRDIF)"
9359868,GULF FANATIRIMO номер: 9359868
9359870,GULF HUWAYLAT
9359894,GULF JALMUDA
9360128,ZALIV BAIKAL
9360130,ZALIV VOSTOK
9360817,FRAIHA
9360843,AL SHEEHAN
9360867,AL UTOURIYA
9360879,AL HUWAILA
9360881,AL KHARSAAH
9360893,AL SHAMAL
9360908,AL KHUWAIR
9360946,DOLPHIN 21
9362152,FURE SKAGEN
9363481,
9363807,JN NEPTUNE (бывш. SUN NEPTUNE)IMO номер: 9363807
9365001,PM MONARCH
9365051,KOWA MARU NO.18
9365635,SEYCHELLES PATRIOT
9366196,GOLDEN DENISE
9366263,KARDIANI (бывш. HIGH SATURN)
9367372,ERICUSA M (бывш. PROCIDA)
9367437,OM JAIPUR
9367671,MINERVA MEDITERRANEA
9367700,HANSA SEALIFTER
9368170,KYUHO MARU
9368235,NEVAH
9368778,CHRISTOPH SCHULTE
9371593,DESH VIRAAT
9371610,STEN ARNOLD
9371660,GASCHEM ATLANTIC
9371684,GASCHEM CARIBIC
9372420,CLIPPER ORION
9372743,
9372779,KOSHIN MARU NO.21
9373008,K.JASMINE
9373656,
9374301,
9375317,SINO WISDOM
9375329,GRAND ACE6 (ранее STX ACE 6)
9376660,STOLT QUETZAL
9376828,ATLAS STAR
9376854,CLEAN IMPERIAL
9377054,LAMENTIN
9377078,CLIPPER MARSТип судна: Газовоз (LPG Tanker / LGC — Large Gas Carrier)
9377236,DENVERТип судна: Танкер для перевозки сжиженного газа (LPG Tanker)
9377248,TOKYOТип судна: Газовоз СУГ (LPG Tanker)
9377420,PHILIPPINES PROSPERITY
9377652,STARLIGHT II
9377779,VOZROZHDENIYE (ранее: MONARCH I)
9377793,REIMEI
9378307,CORAL FURCATA (бывш. NORGAS CONCEPTION)
9378369,
9378371,FANTASIA
9379052,NOVA (ранее известное как OCEAN AUTUMN)
9379131,SEA VOYAGER
9379208,JIAOLONG
9379325,"FORTUNE (ранее: PS LONDON, INDIAN POINT)"
9379894,KISO
9379911,SAGAMI
9379961,TWERK (ранее: ALPINE PERSEFONE)
9379973,CYPRESS GALAXY
9380063,MINERVA EMILY
9380099,PLATYTERA (ранее SILVER EXPRESS)
9380104,MITERA (бывш. PIONEER EXPRESS)
9380386,MINERVA JOANNA
9380594,
9380740,CAP THEODORA
9380831,MINERVA JULIE
9381287,NISSHUN MARU
9381756,VELOS AQUARIUS
9381835,GULF MUTTRAH
9382504,KOWIE
9382798,TRUST (ранее известно как TRANSSIB BRIDGE)
9382956,SELINI
9382968,SALAMINA
9383895,CENTRAL STAR
9383900,BW ENN CRYSTAL SKY
9383950,SALUT
9384100,
9384198,MANIFAТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier)
9384227,
9384590,PLATA GLORY (бывш. FRONT KATHRINE)
9386249,"SCANDIC (бывш. NORSTAR BALTIC, SWAN BALTIC, OZAY-5)"
9386299,GAS CONCEPT
9386964,DORRA
9387542,KAOMBO NORTE (бывшее название: OLYMPIA)
9387578,NUSHEN
9387932,GREAT MANTA
9387970,"SOLO (прежние названия: AVRA PATROS, ENERGY CENTURION)"
9388209,"JOHNNY RANGER (бывш. PS HOUSTON, IRON POINT)"
9388223,DANIEL FIMO номер: 9388223
9388302,BOW ELM
9388314,BOW LIND
9388754,JAL ANJALI
9388821,AL SAMRIYA
9388924,
9389265,IVORY COAST PROSPERITY
9389320,VICENTE GUERRERO IIIMO номер: 9389320
9389643,EXPEDIENT
9389722,AULAC DIAMOND
9389758,XIN TONG YANG
9389760,XIN RUN YANG
9389837,SEAWAYS GUAYAQUIL (ранее GULF CASTLE)
9389849,CHEMROAD DIGNITY
9389851,GULF CORAL
9390458,FOX LUNA
9390769,TORM LENE
9391438,SEAWAYS MOMENT
9391440,ISLEMAN
9391751,SAKURAGAWA
9391945,EMERALD
9392042,"GAS EXELERO (ранее: EPIC CORDOVA, CORDOVA)"
9392482,TORM LOUISEIMO номер: 9392482
9392808,SEAWAYS MYSTERY (ранее ALPINE MYSTERY)
9393096,MONTE TAMARO
9393101,MONTE LEMA
9395501,YUYO SPIRITS
9396024,BOMAR OSPREY
9396737,"SKYLIGHT (ранее: FALCON IRIS, ISOLA BIANCA)"
9396775,PACIFIC PRIDE
9396787,HARBIYE
9397145,ATLANTIC PIONEERIMO номер: 9397145
9397341,AL SADD
9397353,ONAIZA
9397779,FPMC C INTELLIGENCE
9397808,BLUEFIN PEARL
9398058,NEW PROSPECT
9398060,NEW PARADISE
9398280,"TIGERLILY (бывшие названия: CHIOS LION, BRIGHTOIL LION, ARSOS)"
9398591,"VICTORIA (ранее SAMPURNA, FENG HAI YOU 1)"
9399272,NCC HUDA
9399351,HENRY MAERSK
9399492,MOTELE OLA
9400409,JBU OPAL
9400837,"KOBE (прежние названия: ST. GERTRUD, KILAKARAI STAR)"
9400978,CENTAURUS (ранее OCEAN SUCCESS)
9400980,EVALI
9401233,PALAWAN STAR
9401295,
9401312,RIO FREDRIKSTAD (бывш. SAMUS SWAN)
9402316,
9402328,SARA SKY
9402653,STAR CURACAO
