imo,mmsi,vessel_name,vessel_type,dwt_tons,draft_m,flag,vessel_category,gt,loa_m,beam_m,nav_status,built_year,age_years,compliance_risk_level
9629598,,LENA RIVERIMO номер: 9629598,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",84585.0,,Маршалловы Острова,vessel,1002362.0,288.0,44.2,,2013.0,13.0,ВЫСОКИЙ РИСК
9030993,,"PROGRESS (ранее: ORION STAR, SPARTAN WARRIOR, NEW PROGRESS)","Нефтяной танкер (Crude Oil Tanker, VLCC)",297237.0,,Неактивен (ранее Либерия/Коморские острова),vessel,1597662.0,333.0,58.0,,1994.0,32.0,
9924510,,HYUNDAI ULSAN 3257,"Нефтяной танкер (Crude Oil Tanker, VLCC)",299279.0,,Неизвестен (по данным AIS),vessel,1545002.0,,,,2023.0,3.0,
9748679,,NORDIC STAR,Нефтяной танкер (Suezmax Crude Oil Tanker),157737.0,,Каймановы Острова,vessel,817182.0,277.05,48.0,,2016.0,10.0,НИЗКИЙ РИСК
9685449,,INEOS INTREPID,Газовоз (LPG/Ethylene carrier),20917.0,,Мальта,vessel,228872.0,180.3,26.6,,2015.0,11.0,НИЗКИЙ РИСК
9275256,,"SIYA RAM (ранее: MAERSK RYE, ANWAAR LIBYA)IMO номер: 9275256",Танкер-продуктовоз (Oil Products Tanker),34656.0,,Антигуа и Барбуда,vessel,221842.0,171.2,27.39,,2004.0,22.0,СРЕДНИЙ РИСК
9324344,,CHEIKH BOUAMAMAIMO номер: 9324344,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Medium)",39520.0,,Багамские Острова,vessel,528552.0,219.81,35.0,,2008.0,18.0,НИЗКИЙ РИСК
9419369,,AMFITRITI,Нефтяной танкер (Aframax / LR2),115405.0,13.5,Мальта,vessel,627822.0,250.0,44.0,,2009.0,17.0,НИЗКИЙ РИСК
9253284,,FSRU TOSCANA (ранее: GOLAR FROST),Плавучая установка для хранения и регазификации СПГ (FSRU — Floating Storage and Regasification Unit),73758.0,8.8,Италия,vessel,1179162.0,306.47,48.0,,2003.0,23.0,НИЗКИЙ РИСК
9275256,,"SIYA RAM (ранее: MAERSK RYE, ANWAAR LIBYA)",Танкер-продуктовоз (Oil Products Tanker),34656.0,7.0,Антигуа и Барбуда,vessel,221842.0,171.2,27.39,,2004.0,22.0,СРЕДНИЙ РИСК
9324344,,CHEIKH BOUAMAMAIMO номер: 9324344,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Medium)",39520.0,8.0,Багамские Острова,vessel,528552.0,219.81,35.0,,2008.0,18.0,НИЗКИЙ РИСК
9214410,,"ALMAK (ранее: Kvaloyfjord, Mary M)",Рыболовецкое судно (Траулер),1100.0,6.7,Россия,vessel,8562.0,41.4,11.3,,2001.0,25.0,НИЗКИЙ РИСК
9809045,,HASSI BERKINE,Газовоз (LPG Tanker),9612.0,7.1,Алжир,vessel,122932.0,146.2,21.6,,2018.0,8.0,НИЗКИЙ РИСК
9275347,,LALLA FATMA N'SOUMERIMO номер: 9275347,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",80920.0,10.2,Багамские Острова,vessel,1183632.0,289.5,49.0,,2004.0,22.0,НИЗКИЙ РИСК
9991915,,SERI DIAN,Танкер-газовоз (LNG Tanker),92600.0,9.8,Сингапур,vessel,1148162.0,295.0,47.0,,2026.0,0.0,НИЗКИЙ РИСК
9984962,,XIANG HONG 69,Танкер-продуктовоз (Oil Products Tanker),8330.0,,Китай (PRC),vessel,67042.0,,,,2022.0,4.0,НИЗКИЙ РИСК
9771080,,SEAPEAK BAHRAIN (ранее: BAHRAIN SPIRIT),Танкер-газовоз (LNG Tanker),95289.0,9.4,Бахрейн,vessel,1132742.0,294.9,46.4,,2018.0,8.0,НИЗКИЙ РИСК
9342487,,"SEAPEAK MAGELLAN (ранее: MAGELLAN SPIRIT, MAERSK MAGELLAN)","Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",82265.0,11.2,Дания,vessel,1044842.0,286.0,43.4,,2009.0,17.0,НИЗКИЙ РИСК
9490961,,,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",82929.0,9.4,Багамские Острова,vessel,1007232.0,285.0,43.4,,2011.0,15.0,НИЗКИЙ РИСК
9757967,,CHEMROAD SAKURAIMO номер: 9757967,Танкер-химовоз / продуктовоз (Chemical/Oil Products Tanker),35688.0,11.2,Панама,vessel,212542.0,179.53,27.4,,2017.0,9.0,НИЗКИЙ РИСК
9760770,,MARVEL HAWK,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",89432.0,9.1,Сингапур,vessel,1140842.0,293.3,45.8,,2018.0,8.0,НИЗКИЙ РИСК
9779226,,DIAMOND GAS ORCHID,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",94028.0,11.0,Сингапур,vessel,1448282.0,293.5,48.94,,2018.0,8.0,НИЗКИЙ РИСК
9779238,,DIAMOND GAS ROSE,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",94145.0,9.4,Сингапур,vessel,1448282.0,293.5,48.94,,2018.0,8.0,НИЗКИЙ РИСК
9874454,,DIAMOND GAS CRYSTAL,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",89686.0,9.3,Сингапур,vessel,1175642.0,297.16,46.4,,2021.0,5.0,НИЗКИЙ РИСК
9874454,,DIAMOND GAS CRYSTAL,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",89686.0,9.3,Сингапур,vessel,117564.0,297.16,46.4,,2021.0,5.0,НИЗКИЙ РИСК
1023401,,DIAMOND GAS JADE,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",80000.0,9.0,Сингапур,vessel,117000.0,290.0,46.0,,2026.0,0.0,НИЗКИЙ РИСК
9687021,,GASLOG GLASGOW,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",87889.0,11.6,Бермудские острова,vessel,112764.0,291.08,45.8,,2016.0,10.0,НИЗКИЙ РИСК
1023865,,QINGCHENG,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",91160.0,9.0,Гонконг,vessel,114755.0,295.0,45.0,,2025.0,1.0,НИЗКИЙ РИСК
9766580,,BRITISH SPONSOR,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",94360.0,9.0,Остров Мэн (Великобритания),vessel,115366.0,294.9,46.4,,2019.0,7.0,НИЗКИЙ РИСК
9766530,,BRITISH PARTNER,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",94442.0,11.3,Остров Мэн (Великобритания),vessel,115366.0,294.9,46.4,,2018.0,8.0,НИЗКИЙ РИСК
9766554,,BRITISH CONTRIBUTOR,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",94558.0,10.0,Остров Мэн (Великобритания),vessel,115366.0,294.9,46.4,,2018.0,8.0,НИЗКИЙ РИСК
9761827,,SM EAGLE,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",97975.0,11.4,Панама,vessel,115716.0,295.0,46.4,,2017.0,9.0,НИЗКИЙ РИСК
9770438,,MARVEL CRANE,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",92799.0,11.7,Сингапур,vessel,139049.0,297.5,48.9,,2019.0,7.0,НИЗКИЙ РИСК
9857365,,FLEX AURORA,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93775.0,11.5,Маршалловы Острова,vessel,116430.0,297.0,46.4,,2020.0,6.0,НИЗКИЙ РИСК
9845702,,FRONT DRIVA,"Нефтяной танкер (VLCC, Crude Oil Tanker)",318744.0,13.8,Кипр,vessel,160457.0,332.99,60.0,,2019.0,7.0,НИЗКИЙ РИСК
6928632,,LNG ELBA,Танкер для перевозки сжиженного природного газа (LNG Tanker),25235.0,,Не применимо (судно утилизировано),vessel,29264.0,207.73,29.32,,1970.0,,
9352860,,GASLOG SAVANNAH,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",82291.0,,Бермудские острова,vessel,97818.0,285.1,43.4,,2010.0,16.0,НИЗКИЙ РИСК
9658238,,MARAN GAS MYSTRAS,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",89269.0,9.4,Греция,vessel,103893.0,294.2,44.0,,2015.0,11.0,НИЗКИЙ РИСК
9845702,,FRONT DRIVA,"Нефтяной танкер (VLCC, Crude Oil Tanker)",318744.0,13.8,Кипр,vessel,160457.0,332.99,60.0,,2019.0,7.0,НИЗКИЙ РИСК
9766580,,,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",94360.0,9.0,Остров Мэн (Великобритания),vessel,115366.0,294.9,46.4,,2019.0,7.0,НИЗКИЙ РИСК
9633173,,MARAN GAS DELPHI,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",89670.0,9.6,Греция,vessel,103928.0,294.2,44.0,,2014.0,12.0,НИЗКИЙ РИСК
9903920,,GRACE FREESIA,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",89790.0,9.4,Багамские Острова,vessel,117564.0,297.16,46.4,,2022.0,4.0,НИЗКИЙ РИСК
9777151,,HYUNDAI PIONEER III,Офшорное строительное судно / судно обеспечения (Offshore Construction Vessel / Support Vessel).,494.0,,"Панама (исторически), в текущих AIS-системах статус флага может отображаться как «Unknown» из-за отсутствия регулярных сигналов.",vessel,2402.0,,,,2015.0,11.0,НИЗКИЙ РИСК
9253715,,ENERGOS PRINCESS,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",77707.0,,Маршалловы Острова,vessel,93899.0,277.0,43.4,,2003.0,23.0,НИЗКИЙ РИСК
9975325,,ARCHIMIDIS,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93000.0,9.7,Мальта,vessel,116000.0,299.0,46.0,,2026.0,,НИЗКИЙ РИСК
9943853,,AXIOS II,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93736.0,9.5,Бермудские острова,vessel,116581.0,299.0,46.4,,2024.0,2.0,НИЗКИЙ РИСК
9884021,,ASKLIPIOS,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93352.0,9.6,Греция,vessel,116581.0,299.06,46.4,,2021.0,5.0,НИЗКИЙ РИСК
9337963,,AL SAFLIYA,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Q-Flex)",121963.0,11.2,Багамские Острова,vessel,137535.0,315.0,50.0,,2007.0,19.0,НИЗКИЙ РИСК
9654713,,MCARTHUR,"Нефтяной танкер (малотоннажный, Oil Products Tanker)",1035.0,2.2,Австралия,vessel,922.0,54.2,12.25,,2014.0,12.0,НИЗКИЙ РИСК
9239630,,,Нефтяной танкер (Crude Oil Tanker),69609.0,,"Unknown», является следствием обработки устаревших или «фантомных» сигналов. Судно физически перестало существовать как коммерческий транспортный объект.РезюмеАктив непригоден для какой-либо коммерческой деятельности. Включение этого объекта в списки действующих танкеров является ошибкой. Его использование в аналитических моделях или логистических планах недопустимо.",vessel,40343.0,,32.0,,2002.0,,
9918016,,LEV LANDAUIMO номер: 9918016,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",99824.0,,Панама,vessel,130353.0,299.9,47.0,,2026.0,,НИЗКИЙ РИСК
9246621,,PORTOVYY,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",77777.0,,"Россия (с 2021–2022 гг., ранее — Мальта)",vessel,94499.0,277.0,43.4,,2003.0,23.0,ВЫСОКИЙ РИСК
9246621,,PORTOVYY (бывшее EXCEL),СПГ-танкер (LNG Tanker),77777.0,9.5,Российская Федерация,vessel,94499.0,,43.4,,2003.0,,
9778313,,,FSRU (Floating Storage and Regasification Unit — плавучая установка для хранения и регазификации СПГ),93292.0,10.9,Россия,vessel,118423.0,294.83,46.4,,2018.0,8.0,ВЫСОКИЙ РИСК
9243148,,,СПГ-танкер (LNG Tanker),77551.0,,Россия,vessel,93844.0,277.0,43.4,,2003.0,23.0,КРИТИЧЕСКИ ВЫСОКИЙ РИСК
9953248,,,Танкер для перевозки сжиженного природного газа (LNG Tanker),93076.0,,Либерия,vessel,1154802.0,299.0,46.4,,2024.0,2.0,НИЗКИЙ РИСК
9360817,,FRAIHA,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Q-Flex)",121914.0,9.3,Маршалловы Острова,vessel,1366852.0,305.57,50.0,,2008.0,18.0,НИЗКИЙ РИСК
9337755,,MOZAH,"СПГ-танкер (LNG Tanker, Q-Max)",130102.0,9.5,Маршалловы Острова,vessel,1639222.0,345.33,53.8,,2008.0,18.0,НИЗКИЙ РИСК
9418365,,SHAGRA,"СПГ-танкер (LNG Tanker, Q-Max)",130102.0,9.5,Маршалловы Острова,vessel,1639222.0,345.0,53.8,,2009.0,17.0,НИЗКИЙ РИСК
9443413,,RASHEEDA,"СПГ-танкер (LNG Tanker, Q-Max)",130208.0,12.1,"Маршалловы Острова (Примечание: в данных AIS указан Оман, однако исторически и по реестрам судно зарегистрировано под флагом Маршалловых Островов как часть катарского флота).",vessel,1639222.0,345.0,53.8,,2010.0,16.0,НИЗКИЙ РИСК
9714276,,SERI CAMELLIA,"СПГ-танкер (LNG Tanker, Moss-Type)",84333.0,11.0,Малайзия,vessel,1339482.0,290.0,49.0,,2016.0,10.0,НИЗКИЙ РИСК
9680190,,ASIA VENTURE,"СПГ-танкер (LNG Tanker, Membrane Type)",82564.0,11.7,Багамские Острова,vessel,1014272.0,285.0,43.4,,2017.0,9.0,НИЗКИЙ РИСК
9655016,,BRISOTE,Малотоннажный танкер для перевозки СУГ (LPG Tanker),2177.0,,Нидерланды,vessel,29292.0,87.0,14.8,,2014.0,12.0,НИЗКИЙ РИСК
9606950,,ASIA ENERGY,"СПГ-танкер (LNG Tanker, Membrane Type)",82424.0,11.2,Багамские Острова,vessel,1014272.0,285.0,43.4,,2014.0,12.0,НИЗКИЙ РИСК
9636797,,COOL RUNNER,СПГ-танкер (LNG Tanker),81891.0,9.0,Мальта,vessel,1020972.0,280.5,43.4,,2014.0,12.0,НИЗКИЙ РИСК
9351971,,PACIFIC ENLIGHTEN,"СПГ-танкер (LNG Tanker, Membrane Type)",80023.0,11.1,Багамские Острова,vessel,1223612.0,288.0,49.0,,2009.0,17.0,НИЗКИЙ РИСК
9810367,,WOODSIDE REES WITHERS,"СПГ-танкер (LNG Tanker, Membrane Type)",94732.0,11.6,Греция,vessel,1138222.0,294.9,46.4,,2019.0,7.0,НИЗКИЙ РИСК
9627485,,WOODSIDE ROGERS,"СПГ-танкер (LNG Tanker, Membrane Type)",90327.0,11.3,Греция,vessel,1039282.0,294.2,44.0,,2013.0,13.0,НИЗКИЙ РИСК
9606948,,ASIA VISION,"СПГ-танкер (LNG Tanker, Membrane Type)",82487.0,9.3,Багамские Острова,vessel,1014272.0,285.0,43.4,,2014.0,12.0,НИЗКИЙ РИСК
9753026,,WOODSIDE CHANEY,"СПГ-танкер (LNG Tanker, Membrane Type)",94945.0,10.9,Греция,vessel,1137632.0,294.9,46.4,,2019.0,7.0,НИЗКИЙ РИСК
9828895,,IONIAN STAR,"Танкер-химовоз / нефтеналивной танкер (Chemical/Oil Products Tanker, MR/LR1)",50506.0,7.8,Маршалловы Острова,vessel,295442.0,183.06,32.2,,2019.0,7.0,НИЗКИЙ РИСК
9815252,,CHEM LITHIUM (ранее: BW LITHIUM),Танкер-химовоз (Chemical/Oil Products Tanker),19981.0,9.8,Либерия,vessel,119182.0,146.5,24.0,,2017.0,9.0,НИЗКИЙ РИСК
9919838,,GASCHEM ILIAD,"Танкер для перевозки СУГ (LPG Tanker / Coaster, Pressurized)",3895.0,5.5,Португалия (регистр Мадейра),vessel,54942.0,99.9,18.0,,2022.0,4.0,НИЗКИЙ РИСК
9339260,,SEAPEAK ARWA,"СПГ-танкер (LNG Tanker, Membrane Type)",82187.0,,Маршалловы Острова,vessel,1041692.0,285.0,43.4,,2008.0,18.0,НИЗКИЙ РИСК
9919814,,,"FPSO (Плавучая установка для добычи, хранения и отгрузки нефти)",250000.0,,Багамские Острова,vessel,2148882.0,335.85,60.0,,2024.0,2.0,
9873840,,BW LESMES,"СПГ-танкер (LNG Tanker, Membrane Type)",94167.0,9.5,Сингапур,vessel,1153382.0,294.98,46.4,,2021.0,5.0,НИЗКИЙ РИСК
9843285,,SHENG YOU 233,Танкер для перевозки нефтепродуктов (Oil Products Tanker),8830.0,,Китай (PRC),vessel,62452.0,115.36,19.0,,2017.0,9.0,ВЫСОКИЙ РИСК
9758844,,,"СПГ-танкер (LNG Tanker, Membrane Type)",88700.0,,Панама,vessel,1221422.0,299.9,48.9,,2019.0,7.0,НИЗКИЙ РИСК
9825427,,FLEX CONSTELLATION,"СПГ-танкер (LNG Tanker, Membrane Type — MEGI)",95453.0,9.4,Маршалловы Острова,vessel,1134282.0,294.9,46.4,,2019.0,7.0,НИЗКИЙ РИСК
9707510,,GASLOG GIBRALTAR,"СПГ-танкер (LNG Tanker, Membrane Type)",87981.0,9.5,Бермудские Острова,vessel,1127642.0,291.08,45.8,,2016.0,10.0,НИЗКИЙ РИСК
9851634,,,"СПГ-танкер (LNG Tanker, Membrane Type — MEGI)",95450.0,,Маршалловы Острова,vessel,1143802.0,294.9,46.4,,2020.0,6.0,НИЗКИЙ РИСК
9401295,,,"СПГ-танкер (LNG Tanker, Membrane Type)",100121.0,9.2,Испания,vessel,1109202.0,290.0,45.8,,2010.0,16.0,НИЗКИЙ РИСК
9325893,,TANGGUH TOWUTI,"СПГ-танкер (LNG Tanker, Membrane Type)",84992.0,,"Сингапур (согласно регистрационным данным, несмотря на временные ошибки в AIS-сервисах)",vessel,974322.0,285.4,43.4,,2008.0,18.0,НИЗКИЙ РИСК
9271248,,ARCTIC PRINCESS,"СПГ-танкер (LNG Tanker, Moss Type)",84878.0,,Норвегия (NIS),vessel,1215972.0,288.0,49.0,,2006.0,20.0,НИЗКИЙ РИСК
9276389,,ARCTIC DISCOVERER,"СПГ-танкер (LNG Tanker, Moss Type)",75485.0,,Багамские Острова,vessel,1185712.0,289.5,48.4,,2006.0,20.0,НИЗКИЙ РИСК
9613135,,PAPUA,"СПГ-танкер (LNG Tanker, Membrane Type)",100030.0,9.8,Гонконг (КНР),vessel,1142382.0,290.0,46.95,,2015.0,11.0,НИЗКИЙ РИСК
9613161,,KUMUL,"СПГ-танкер (LNG Tanker, Membrane Type)",96311.0,11.6,Гонконг (КНР),vessel,1141662.0,290.0,46.95,,2016.0,10.0,НИЗКИЙ РИСК
1035765,,TP PROMISE,Танкер для перевозки сырой нефти (Crude Oil Tanker),114952.0,14.4,Норвегия,vessel,621722.0,250.0,42.0,,2026.0,,НИЗКИЙ РИСК
1035777,,TP PROGRESS,Нефтеналивной танкер (Crude Oil Tanker / Aframax),114952.0,8.6,Норвегия,vessel,621722.0,250.0,42.0,,2026.0,,НИЗКИЙ РИСК
1053755,,TP PROSPECT,Танкер / Aframax (LR2),114783.0,,Норвегия,vessel,621722.0,250.0,42.0,,2026.0,,НИЗКИЙ РИСК
9979993,,SEATRUST,Нефтеналивной танкер (Crude Oil Tanker / Aframax),114449.0,12.9,Мальта,vessel,624312.0,249.99,42.4,,2025.0,1.0,НИЗКИЙ РИСК
9978690,,ARCTIC STAR,Нефтеналивной танкер (Crude Oil Tanker / Aframax),114753.0,8.5,Греция,vessel,625832.0,250.0,42.0,,2025.0,1.0,НИЗКИЙ РИСК
9978688,,OCEAN STAR,Нефтеналивной танкер (Crude Oil Tanker / Aframax),114753.0,13.0,Греция,vessel,625832.0,250.0,42.0,,2025.0,1.0,НИЗКИЙ РИСК
