vessel_name,imo,mmsi,call_sign,vessel_type,built_year,age_years,flag,dwt_tons,gt,loa_m,beam_m,draft_m,nav_status,speed_knots,destination_port,destination_context,departure_port,arrival_datetime,compliance_risk_level,sanctions_tags,risk_source,synthetic_fields,imputed_fields,registry_mock_fields,imo_valid,vessel_category,source_confidence,raw_text
CLIPPER GALLEON,1026829,257492850,LAXTM,"LPG Tanker (танкер для перевозки сжиженного нефтяного газа, класс «Hazard D»)",2026,0,Норвегия,56171.0,50498.0,230.0,32.0,7.5,At Anchor / На якорной стоянке,6.9,порт Хьюстон (США) с ожидаемым прибытием 7 июня 2026 года,LPG Tanker · флаг: Норвегия · следует в: порт Хьюстон (США) с ожидаемым прибытием 7 июня 2026 года · At Anchor,"Yeosu, South Korea (KR YOS)","20 сентября 2026 г., 13:00 UTC",LOW,,heuristic,,,call_sign; arrival_datetime; departure_port,True,vessel,parsed,"Название: CLIPPER GALLEON

IMO: 1026829

MMSI: 257492850

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа, класс «Hazard D»)

Флаг: Норвегия

Технические характеристики:

Длина (LOA): 230.00 м

Ширина (Beam): 32.00 м

Дедвейт (DWT): 56 171 т

Год постройки: 2026 (новейшее судно)

Тоннаж: Валовая вместимость (GT) 50 498 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f3ad3b.jpg, судно находится в статусе «Underway using Engine» (на ходу под двигателем) со скоростью 6.9 узла.

Операционная активность: Судно вышло с якорной стоянки Панамского канала (PA PCN) 3 июня 2026 года и следует в порт Хьюстон (США) с ожидаемым прибытием 7 июня 2026 года.

Статус рейса: Осадка 7.5 м указывает на то, что судно следует либо в балласте, либо с частичной загрузкой после завершения длительного периода ожидания в Панаме (более 21 дня в период с апреля по май).

3. Анализ рисков и комплаенс
Профиль актива: Судно 2026 года постройки. Это высокотехнологичный актив новейшего поколения.

Рисковый профиль: Классифицируется как актив стратегического назначения.

История актива: Судно только введено в эксплуатацию (май 2026 года). Длительная стоянка в Панаме в апреле-мае, вероятно, была связана с этапом приемки, тестами оборудования или ожиданием первых фрахтовых контрактов после спуска на воду.

Комплаенс: Работа под норвежским флагом и принадлежность к категории опасных грузов (Hazard D) подразумевают высочайшие стандарты технического обслуживания, экологического контроля и страхования.

Операционный профиль: Судно находится в фазе «активного ввода» в глобальную логистику после завершения постройки. Маршрут «Панама — Хьюстон» является стандартным для газовозов, обслуживающих экспорт из Мексиканского залива.

Аналитическое резюме:
CLIPPER GALLEON (IMO 1026829) — новейшее судно, находящееся в первом полноценном рейсе после сдачи в эксплуатацию. Текущий переход в Хьюстон является индикатором начала регулярной коммерческой деятельности газовоза на маршрутах Атлантики и Мексиканского залива."
ITHACA GAS,9987550,636022844,A8131,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2025,1,Либерия,56457.0,49267.0,230.0,33.0,7.5,At Anchor / На якорной стоянке,13.0,порт Хьюстон (США) с ожидаемым прибытием 7 июня 2026 года,LPG Tanker · флаг: Либерия · следует в: порт Хьюстон (США) с ожидаемым прибытием 7 июня 2026 года · At Anchor · возраст: 1 лет,"Yeosu, South Korea (KR YOS)","13 сентября 2026 г., 22:00 UTC",LOW,,heuristic,speed_knots,,call_sign; arrival_datetime; departure_port,True,vessel,parsed,"Название: ITHACA GAS

IMO: 9987550

MMSI: 636022844

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Либерия

Технические характеристики:

Длина (LOA): 230.00 м

Ширина (Beam): 33.00 м

Дедвейт (DWT): 56 457 т

Год постройки: 2025

Тоннаж: Валовая вместимость (GT) 49 267 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f34b04.png, судно находится в процессе выхода из района Панамского канала (PA PCN) и следует в порт Хьюстон (США) с ожидаемым прибытием 7 июня 2026 года.

Операционная активность: Последний период активности (1–3 июня) судно провело на якорной стоянке в районе Тихоокеанского входа в Панамский канал, после чего начало движение.

Статус рейса: Осадка 7.5 м указывает на то, что газовоз находится в балластном или облегченном состоянии, направляясь в терминалы Хьюстона под погрузку.

3. Анализ рисков и комплаенс
Профиль актива: Судно 2025 года постройки. Высокотехнологичный актив новейшего поколения.

Рисковый профиль: Классифицируется как актив высокого стратегического значения.

История актива: Судно было введено в эксплуатацию в марте 2025 года. Ранее, на стадии постройки, фигурировало под названием CAMARO.

География работы: Активные торговые связи между Южной Кореей (Ульсан) и США (Хьюстон) подтверждают участие судна в долгосрочных цепочках поставок энергоносителей (LPG) на транстихоокеанских и трансатлантических маршрутах.

Комплаенс: Новейшее судно под либерийским флагом полностью соответствует современным требованиям безопасности для перевозки сжиженных газов. Интенсивная эксплуатация (12 портовых заходов за короткий период) свидетельствует о высокой востребованности актива на рынке.

Аналитическое резюме:
ITHACA GAS (IMO 9987550) — современный крупнотоннажный газовоз, активно задействованный в глобальном экспорте сжиженного газа. Текущий рейс в Хьюстон после ожидания в Панаме является плановым логистическим маневром для пополнения запасов продукции из Мексиканского залива."
NAVIGARE GAIA,9694634,219654000,5LLCG,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2015,11,Дания,54516.0,47347.0,225.0,36.6,8.1,At Anchor / На якорной стоянке,0.1,балласте или с неполной загрузкой в порт Фрипорт (США),LPG Tanker · флаг: Дания · следует в: балласте или с неполной загрузкой в порт Фрипорт (США) · At Anchor · возраст: 11 лет,"Rotterdam, Netherlands (NL RTM)",8 июня 2026 г,LOW,,heuristic,,,call_sign; departure_port,True,vessel,parsed,"Название: NAVIGARE GAIA

IMO: 9694634

MMSI: 219654000

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Дания

Технические характеристики:

Длина (LOA): 225.00 м

Ширина (Beam): 36.60 м

Дедвейт (DWT): 54 516 т

Год постройки: 2015

Тоннаж: Валовая вместимость (GT) 47 347 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f34386.jpg, судно находится в районе Панамского канала. Навигационный статус — «Stopped» (остановлено) при минимальной скорости 0.1 узла, что указывает на ожидание очереди для прохода канала или швартовку на внешнем рейде.

Операционная активность: Судно провело около трех суток (с 31 мая по 3 июня) на якорной стоянке в Панаме перед возобновлением активности.

Статус рейса: Осадка 8.1 м предполагает, что судно следует в балласте или с неполной загрузкой в порт Фрипорт (США), куда ожидается прибытие 8 июня 2026 года.

3. Анализ рисков и комплаенс
Профиль актива: Судно 2015 года постройки. Относится к серии газовозов среднего/большого размера, активно эксплуатируемых в международных перевозках энергоносителей.

Рисковый профиль: Классифицируется как актив высокого операционного значения.

История актива: Судно было введено в эксплуатацию в 2015 году под названием SERJEANT. Смена названия на NAVIGARE GAIA произошла в августе 2024 года.

География работы: Исторически судно было задействовано на дальневосточных маршрутах (Шанхай, Китай; Халдия, Индия), что свидетельствует о его работе в рамках глобальных энергетических цепочек поставок.

Комплаенс: Работа под датским флагом обеспечивает высокий уровень технического соответствия и приверженность международным стандартам безопасности, что минимизирует риски при заходах в порты США.

Аналитическое резюме:
NAVIGARE GAIA (IMO 9694634) — крупнотоннажный газовоз, выполняющий регулярные рейсы в интересах глобальной энергетической торговли. Текущая остановка в районе Панамского канала является стандартным логистическим звеном для транзита судна в Мексиканский залив, где расположены ключевые экспортные хабы LPG."
BW BRAGE,9732539,538006837,V7OO3,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2016,10,Маршалловы Острова,54053.0,47965.0,225.22,36.6,8.0,At Anchor / На якорной стоянке,6.3,балластном состоянии,"трансокеанских перевозках между Южной Кореей (Гванъян/Есу) и терминалами в США (Ферндейл), что подтверждает его ключевую роль в глобальных цепочках поставок сжиженного газа","Chiba, Japan (JP CHB)","22 сентября 2026 г., 15:00 UTC",LOW,,heuristic,,,call_sign; arrival_datetime; departure_port,True,vessel,parsed,"Название: BW BRAGE

IMO: 9732539

MMSI: 538006837

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Маршалловы Острова

Технические характеристики:

Длина (LOA): 225.22 м

Ширина (Beam): 36.60 м

Дедвейт (DWT): 54 053 т

Год постройки: 2016

Тоннаж: Валовая вместимость (GT) 47 965 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f33c5a.jpg, судно находится в процессе навигации в районе Панамского канала (направление на Кристобаль). Скорость движения составляет 6.1–6.3 узла.

Операционная активность: После пребывания на якорной стоянке в районе Тихоокеанского входа в Панамский канал (с 1 по 3 июня), судно возобновило движение для продолжения транзита.

Статус рейса: Осадка 8.0 м указывает на то, что судно следует в балластном состоянии, направляясь в Кристобаль после завершения предыдущего логистического цикла.

3. Анализ рисков и комплаенс
Профиль актива: Судно 2016 года постройки. Принадлежит к серии высокоэффективных газовозов BW Group.

Рисковый профиль: Классифицируется как актив высокого стратегического значения.

История актива: Введено в эксплуатацию в 2016 году под названием AURORA BRAGE. Является однотипным судном с такими активами, как BW FREYJA и BW FRIGG.

География работы: Интенсивно задействовано в трансокеанских перевозках между Южной Кореей (Гванъян/Есу) и терминалами в США (Ферндейл), что подтверждает его ключевую роль в глобальных цепочках поставок сжиженного газа.

Комплаенс: Работа под флагом Маршалловых Островов и управление в рамках структуры BW обеспечивают соблюдение строгих экологических и эксплуатационных стандартов, что критически важно для обслуживания американских газовых терминалов.

Аналитическое резюме:
BW BRAGE (IMO 9732539) — современный газовоз, являющийся «рабочей лошадкой» в сегменте крупнотоннажной транспортировки LPG. Текущий маневр в Панамском канале является завершающим этапом подготовки к следующему коммерческому рейсу в Атлантическом бассейне после длительного транзита из Восточной Азии."
PACIFIC INEOS SELA,9990519,636025257,ELBHH,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2025,1,Либерия,60463.0,56103.0,230.0,36.0,10.5,At Anchor / На якорной стоянке,13.0,"Oita, Japan (JP OIT)",LPG Tanker · флаг: Либерия · отход: Яньтай 6 мая 2026 г.). С момента прибытия судно остается на якорной стоянке · At Anchor · возраст: 1 лет,Яньтай 6 мая 2026 г.). С момента прибытия судно остается на якорной стоянке,"16 сентября 2026 г., 04:45 UTC",LOW,,heuristic,speed_knots,,call_sign; arrival_datetime; destination_port,True,vessel,parsed,"Название: PACIFIC INEOS SELA

IMO: 9990519

MMSI: 636025257

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Либерия

Технические характеристики:

Длина (LOA): 230.00 м

Ширина (Beam): 36.00 м

Дедвейт (DWT): 60 463 т

Год постройки: 2025

Тоннаж: Валовая вместимость (GT) 56 103 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f2e1e7.png, судно находится в навигационном статусе «At anchor» (на якоре) в районе Панамского канала (Panama Anch Pacific).

Операционная активность: Судно прибыло в данный район 30 мая 2026 года после длительного перехода из Китая (отход из Яньтай 6 мая 2026 г.). С момента прибытия судно остается на якорной стоянке.

Статус рейса: Осадка 10.5 м свидетельствует о том, что судно следует с грузом, ожидая своей очереди для транзита через канал в сторону Бальбоа (Панама).

3. Анализ рисков и комплаенс
Профиль актива: Судно 2025 года постройки — это новейший актив в мировом флоте газовозов, что предполагает использование самых современных технологий безопасности и энергоэффективности.

Рисковый профиль: Классифицируется как актив высокой приоритетности.

История актива: Судно эксплуатируется менее года, что указывает на высокую интенсивность его использования сразу после сдачи в эксплуатацию.

География работы: Актив ориентирован на глобальные энергетические коридоры, соединяющие порты Китая (Нинбо, Шанхай) с рынками США.

Комплаенс: Флаг Либерии является одним из наиболее престижных и надежных «удобных» флагов, обеспечивающим строгое соответствие международным требованиям безопасности IMO, что критически важно для судна такого класса и возраста.

Аналитическое резюме:
PACIFIC INEOS SELA (IMO 9990519) — современный газовоз большого тоннажа, выполняющий высокоэффективные рейсы в рамках глобальной энергетической логистики. Длительное нахождение на якорной стоянке в Панаме является стандартным ожиданием транзита для судов такого размера, направляющихся из Азии в Атлантический бассейн."
SERI EVEREST,9864954,563119500,9VX6C,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2020,6,Сингапур,59642.0,60784.0,229.98,36.5,8.9,At Anchor / На якорной стоянке,13.0,"Zhangpu, China (CN ZAP)",LPG Tanker · флаг: Сингапур · At Anchor · возраст: 6 лет,"Primorsk, Russia (RU PRI)","25 сентября 2026 г., 17:00 UTC",LOW,,heuristic,speed_knots,,call_sign; arrival_datetime; departure_port; destination_port,True,vessel,parsed,"Название: SERI EVEREST

IMO: 9864954

MMSI: 563119500

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Сингапур

Технические характеристики:

Длина (LOA): 229.98 м

Ширина (Beam): 36.50 м

Дедвейт (DWT): 59 642 т

Год постройки: 2020

Тоннаж: Валовая вместимость (GT) 60 784 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f2de07.jpg, судно находится в навигационном статусе «At anchor» (на якоре) в районе Панамского канала (Panama Anch Pacific).

Операционная активность: Судно прибыло на якорную стоянку 1 июня 2026 года после завершения перехода из порта Ляньюньган (Китай), откуда оно вышло 7 мая 2026 года.

Статус рейса: Осадка 8.9 м указывает на то, что судно находится в груженом состоянии или имеет значительную балластную загрузку, ожидая очереди на транзит через канал в сторону Кристобаля.

3. Анализ рисков и комплаенс
Профиль актива: Судно 2020 года постройки. Относится к серии современных крупнотоннажных газовозов, активно эксплуатируемых на международных маршрутах.

Рисковый профиль: Классифицируется как актив высокого операционного значения.

История актива: Ранее (до ноября 2020 г.) судно носило название CHANG XIU. Является однотипным с судами серии SERI ERLANG и STL NANHU.

География работы: Активно курсирует между энергетическими хабами Китая (Шэньчжэнь) и портами США, что подтверждает его вовлеченность в транстихоокеанские цепочки поставок энергоносителей.

Комплаенс: Флаг Сингапура обеспечивает высокий уровень технического контроля и соблюдения международных морских стандартов, что минимизирует регуляторные риски при операциях в американских и панамских водах.

Аналитическое резюме:
SERI EVEREST (IMO 9864954) — современный и высокопроизводительный газовоз, выполняющий регулярные рейсы в рамках глобальной торговли LPG. Текущая стоянка в Панаме является критически важным логистическим этапом для обеспечения транзита между рынками Восточной Азии и терминалами в Атлантическом бассейне."
NICE,9247819,257509000,LAH7Y,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2003,23,Норвегия,44639.0,35346.0,205.0,32.2,7.5,Underway using Engine / В пути,13.7,балласте или с неполной загрузкой,LPG Tanker · флаг: Норвегия · маршрут: Пуэрто-Кетсаль (Гватемала) 31 мая 2026 года. С учетом текущей скорости (13.6—13.7 узлов) и курса → балласте или с неполной загрузкой · Underway using Engine · возраст: 23 лет,Пуэрто-Кетсаль (Гватемала) 31 мая 2026 года. С учетом текущей скорости (13.6—13.7 узлов) и курса,"2 сентября 2026 г., 13:30 UTC",LOW,,heuristic,,,call_sign; arrival_datetime,True,vessel,parsed,"Название: NICE

IMO: 9247819

MMSI: 257509000

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Норвегия

Технические характеристики:

Длина (LOA): 205.00 м

Ширина (Beam): 32.20 м

Дедвейт (DWT): 44 639 т

Год постройки: 2003

Тоннаж: Валовая вместимость (GT) 35 346 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f2c460.jpg, судно находится в навигационном статусе «Under way using Engine» (на ходу под двигателем), следуя в Бальбоа (Панама).

Операционная активность: Судно вышло из Пуэрто-Кетсаль (Гватемала) 31 мая 2026 года. С учетом текущей скорости (13.6–13.7 узлов) и курса, ожидается прибытие в пункт назначения в ближайшие часы.

Статус рейса: Осадка 7.5 м указывает на то, что судно следует в балласте или с неполной загрузкой, завершая региональный рейс.

3. Анализ рисков и комплаенс
Профиль актива: Судно 2003 года постройки. Относится к категории специализированного флота для перевозки сжиженных газов.

Рисковый профиль: Классифицируется как актив средней степени операционного риска с учетом возраста судна.

История актива: Судно имеет длительную историю эксплуатации под различными названиями (BERGE NICE, BW NICE), что типично для активов такого класса, сменивших несколько владельцев за 20+ лет службы.

География работы: Активно используется на американском континенте (США, Гватемала), что указывает на налаженную логистику в цепочке поставок энергоносителей в регионе.

Комплаенс: Регистрация под норвежским флагом свидетельствует о приверженности высоким стандартам безопасности (NIS — Норвежский международный судовой реестр), что критически важно для перевозки опасных грузов (LPG).

Аналитическое резюме:
NICE (IMO 9247819) — ветеран газовозного флота, сохраняющий высокую эксплуатационную активность. Текущее движение судна в сторону Бальбоа 3 июня 2026 года подтверждает его использование в качестве логистического звена в тихоокеанском секторе Панамского канала."
MARAN GAS VERGINA,9732369,241467000,J4ZV2,LNG Tanker (танкер для перевозки сжиженного природного газа),2016,10,Греция,95194.0,113037.0,294.9,46.4,9.4,Underway using Engine / В пути,14.3,атлантический сектор для реализации следующей партии груза после длительного перехода из Азиатско-Тихоокеанского региона,LNG Tanker · флаг: Греция · маршрут: Наоэцу (Япония) 14 мая 2026 года. Пункт назначения в системе AIS указан как «FOR ORDERS» (в ожидании приказов) → атлантический сектор для реализации следующей партии груза после длительного перехода из Азиатско-Тихоокеанского региона · Underway using Engine · возраст: 10 лет,Наоэцу (Япония) 14 мая 2026 года. Пункт назначения в системе AIS указан как «FOR ORDERS» (в ожидании приказов),"5 сентября 2026 г., 17:30 UTC",LOW,,heuristic,,,call_sign; arrival_datetime,True,vessel,parsed,"Название: MARAN GAS VERGINA

IMO: 9732369

MMSI: 241467000

Тип судна: LNG Tanker (танкер для перевозки сжиженного природного газа)

Флаг: Греция

Технические характеристики:

Длина (LOA): 294.90 м

Ширина (Beam): 46.40 м

Дедвейт (DWT): 95 194 т

Год постройки: 2016

Тоннаж: Валовая вместимость (GT) 113 037 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_f2c0bb.jpg, судно находится в Панамском канале, имея статус «Underway using Engine» (на ходу под двигателем) со скоростью 14.3 узла.

Операционная активность: Судно вышло из Наоэцу (Япония) 14 мая 2026 года. Пункт назначения в системе AIS указан как «FOR ORDERS» (в ожидании приказов), что типично для судов, работающих на спотовом рынке LNG или выполняющих гибкие торговые операции.

Состояние: Осадка 9.4 м указывает на эксплуатацию судна в загруженном состоянии, соответствующем специфике транспортировки LNG.

3. Анализ рисков и комплаенс
Профиль актива: Высокотехнологичный газовоз (постройка 2016 года), принадлежащий к греческому судовладельческому сектору. Относится к серии судов большого тоннажа, оптимизированных для трансокеанских перевозок газа.

Рисковый профиль: Классифицируется как актив низкого операционного риска благодаря современному оснащению и статусу «греческого флота», который придерживается строгих международных стандартов (ISM Code и стандарты SIGTTO).

География работы: Актив обладает высокой автономностью и глобальной географией заходов: от портов Японии (Наоэцу) до терминалов в Омане (Кальхат) и Австралии (остров Барроу).

Комплаенс: Судно находится в управлении квалифицированного оператора (Maran Gas Maritime), что минимизирует риски, связанные с безопасностью мореплавания и экологическими инцидентами.

Аналитическое резюме:
MARAN GAS VERGINA (IMO 9732369) — крупнотоннажный газовоз, выполняющий роль ключевого звена в глобальной цепочке поставок LNG. Текущая позиция судна в Панамском канале и статус «FOR ORDERS» позволяют предположить, что судно следует в атлантический сектор для реализации следующей партии груза после длительного перехода из Азиатско-Тихоокеанского региона."
DOM EXPLORER,9852951,636020882,ELAH7,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2019,7,Либерия,50513.0,46668.0,229.99,32.25,12.0,At Anchor / На якорной стоянке,13.0,пункт назначения Монтеверде (Эквадор) — 4 июня 2026 года,LPG Tanker · флаг: Либерия · маршрут: Хьюстона (США) 27 мая 2026 года и совершило транзит через Панамский канал → пункт назначения Монтеверде (Эквадор) — 4 июня 2026 года · At Anchor · возраст: 7 лет,Хьюстона (США) 27 мая 2026 года и совершило транзит через Панамский канал,"24 октября 2026 г., 16:00 UTC",LOW,,heuristic,speed_knots,,call_sign; arrival_datetime,True,vessel,parsed,"Название: DOM EXPLORER

IMO: 9852951

MMSI: 636020882

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Либерия

Технические характеристики:

Длина (LOA): 229.99 м

Ширина (Beam): 32.25 м

Дедвейт (DWT): 50 513 т

Год постройки: 2019

Тоннаж: Валовая вместимость (GT) 46 668 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_e8e160.jpg, судно находится в навигационном статусе «Underway using Engine» (на ходу под двигателем) в акватории Центральной Америки.

Операционная активность: Судно вышло из Хьюстона (США) 27 мая 2026 года и совершило транзит через Панамский канал, завершив стоянку на рейде 2 июня.

Статус рейса: Осадка 12.0 м свидетельствует о полной загрузке. Ожидаемое прибытие в пункт назначения Монтеверде (Эквадор) — 4 июня 2026 года.

3. Анализ рисков и комплаенс
Профиль актива: Современный крупнотоннажный газовоз (постройка 2019 года), входящий в серию специализированных судов («Explorer» series), ориентированных на эффективную транспортировку сжиженного газа.

Рисковый профиль: Классифицируется как актив низкого операционного риска ввиду малого возраста судна и высокого уровня автоматизации.

География работы: Актив интенсивно эксплуатируется на маршрутах между нефтехимическими хабами США (Хьюстон) и странами Латинской Америки (Эквадор), обеспечивая стабильные поставки энергоресурсов.

Комплаенс: Работа под флагом Либерии в сочетании с современными техническими характеристиками (постройка 2019 года) обеспечивает соответствие судна самым актуальным требованиям безопасности морской перевозки сжиженных газов.

Аналитическое резюме:
DOM EXPLORER (IMO 9852951) — высокопроизводительный современный газовоз, являющийся важным элементом логистической цепочки поставок LPG в Тихоокеанский регион Южной Америки. Текущий рейс подтверждает регулярную эксплуатацию судна на маршруте «США — Эквадор», что типично для его операционного графика последних лет."
SERI ERLANG,9864966,563123800,9VDOX,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2021,5,Сингапур,59654.0,60784.0,229.98,36.5,12.3,At Anchor / На якорной стоянке,15.6,направлении Кристобаля (Панама),LPG Tanker · флаг: Сингапур · следует в: направлении Кристобаля (Панама) · At Anchor · возраст: 5 лет,"Yanbu, Saudi Arabia (SA YNB)","10 октября 2026 г., 19:00 UTC",LOW,,heuristic,,,call_sign; arrival_datetime; departure_port,True,vessel,parsed,"Название: SERI ERLANG

IMO: 9864966

MMSI: 563123800

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Сингапур

Технические характеристики:

Длина (LOA): 229.98 м

Ширина (Beam): 36.50 м

Дедвейт (DWT): 59 654 т

Год постройки: 2021

Тоннаж: Валовая вместимость (GT) 60 784 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_e8ceb7.jpg, судно находится в навигационном статусе «Underway using Engine» (на ходу под двигателем) со скоростью 15.6 узла.

Операционная активность: Судно завершило стоянку на рейде Пенья-Бланка (Панама) 1 июня 2026 года и следует в направлении Кристобаля (Панама), что указывает на предстоящий транзит через Панамский канал.

Статус рейса: Осадка 12.3 м свидетельствует о наличии груза.

3. Анализ рисков и комплаенс
Профиль актива: Современный крупнотоннажный газовоз (постройка 2021 г.), входящий в высокотехнологичную серию судов компании (типа SERI EMEI, SERI EVEREST).

Рисковый профиль: Классифицируется как актив низкого операционного риска благодаря малому возрасту и принадлежности к передовому флоту Сингапура.

География работы: Судно интенсивно эксплуатируется на международных маршрутах, связывающих крупные энергетические хабы Китая и США, что подтверждается историей портовых заходов.

Комплаенс: Высокий уровень стандартизации флота Сингапура и техническая новизна актива обеспечивают строгое соблюдение международных требований безопасности при транспортировке сжиженных газов.

Аналитическое резюме:
SERI ERLANG (IMO 9864966) — высокоэффективный современный газовоз, являющийся важным звеном в цепочке трансокеанских перевозок энергоносителей. Текущая скорость и курс подтверждают завершение маневров в акватории Панамы и подготовку к транзиту."
G. SPIRIT,9797876,374993000,3FNBV,LPG Tanker (танкер для перевозки сжиженного нефтяного газа),2018,8,Панама,54502.0,47558.0,225.0,36.6,8.3,Underway using Engine / В пути,12.3,Бальбоа (Панама),LPG Tanker · флаг: Панама · следует в: Бальбоа (Панама) · Underway using Engine · возраст: 8 лет,"Yeosu, South Korea (KR YOS)","5 октября 2026 г., 11:00 UTC",LOW,,heuristic,,,call_sign; arrival_datetime; departure_port,True,vessel,parsed,"Название: G. SPIRIT

IMO: 9797876

MMSI: 374993000

Тип судна: LPG Tanker (танкер для перевозки сжиженного нефтяного газа)

Флаг: Панама

Технические характеристики:

Длина (LOA): 225.00 м

Ширина (Beam): 36.60 м

Дедвейт (DWT): 54 502 т

Год постройки: 2018

Тоннаж: Валовая вместимость (GT) 47 558 ед.

2. Оперативная обстановка
Данные актуальны на 3 июня 2026 г.

Текущий статус: Согласно image_e8bfb3.jpg, судно находится в навигационном статусе «Underway using Engine» (на ходу под двигателем) со скоростью 12.3 узла.

Операционная активность: После выхода из Хьюстона (США) судно следует в Бальбоа (Панама).

Статус рейса: Осадка 8.3 м указывает на то, что судно следует в балластном состоянии. Ожидаемое прибытие в пункт назначения — 5 июня 2026 года.

3. Анализ рисков и комплаенс
Профиль актива: Современный газовоз (постройка 2018 г.), входящий в серию специализированных танкеров (типа G.DOLCE, G. SWAN).

Рисковый профиль: Классифицируется как актив средней степени операционного риска.

География работы: Актив активно задействован в логистике сжиженного газа между США (хабы Хьюстона) и рынками Азии (Южная Корея), что подтверждается историей портовых заходов.

Комплаенс: Регистрация в Панаме и специализация на перевозке LPG требуют строгого соблюдения международных протоколов транспортировки опасных грузов и правил безопасности в Панамском канале.

Аналитическое резюме:
G. SPIRIT (IMO 9797876) — надежный участник рынка энергоносителей, выполняющий трансокеанские переходы. Текущий рейс в балласте после выгрузки в США является стандартным операционным маневром для перепозиционирования судна."
