imo,mmsi,vessel_name,vessel_type,dwt_tons,draft_m,flag,vessel_category
9486518,477462300.0,,Супертанкер для сырой нефти (VLCC — Very Large Crude Carrier).,318506.0,,Гонконг (Китай).,oil_tanker
9901348,241742000.0,MARAN ANTIOPE,"Crude Oil Tanker (нефтяной танкер, класс VLCC — Very Large Crude Carrier)",318482.0,,Греция,oil_tanker
9689976,,NEW DREAM,Танкер для сырой нефти (Crude Oil Tanker / VLCC),318292.0,12.9,Гонконг,oil_tanker
9689990,,NEW TRIUMPH,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),318239.0,11.0,Гонконг (Китай),oil_tanker
9590888,,DHT TAIGA,Нефтяной танкер (VLCC — Very Large Crude Carrier),318130.0,11.0,Маршалловы острова,oil_tanker
9402732,,URAN,Нефтяной танкер (VLCC — Very Large Crude Carrier),318068.0,10.6,Россия,oil_tanker
9387554,311000307.0,KAOMBO SUL,"Плавучая установка для добычи, хранения и отгрузки нефти (FPSO — Floating Production, Storage and Offloading).",318000.0,,Багамские Острова,oil_tanker
9486520,,NEW HORIZON,Танкер для сырой нефти (Crude Oil Tanker),317978.0,11.0,Гонконг,oil_tanker
9418054,525119184.0,QUANTUM HARMONY,"Crude Oil Tanker (нефтяной танкер, класс VLCC — Very Large Crude Carrier)",317963.0,15.5,Индонезия,oil_tanker
9486506,,NEW WISDOM,Крупнотоннажный танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),317960.0,,Гонконг,oil_tanker
9559406,,"BRAZIL PROSPERITY (бывшее название: MARAN LYRA, TAI HUNG SAN)",Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),317924.0,20.8,Либерия,oil_tanker
9332535,,SEA V,Нефтяной танкер (VLCC — Very Large Crude Carrier),317788.0,11.0,Гонконг,oil_tanker
9569633,,STREAM,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),317534.0,,Иран,oil_tanker
9386964,,DORRA,Нефтяной танкер (VLCC — Very Large Crude Carrier),317458.0,,Саудовская Аравия,oil_tanker
9411965,,KALLISTA (ранее: ATHENIAN HARMONY),Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),317441.0,14.1,Панама,oil_tanker
9429302,,ATHINA,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),317441.0,20.6,Мальта,oil_tanker
9357183,422206900.0,"HUGE (ранее HANTAMS, MAJESTIC, GLORY, HATEF)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",317367.0,20.0,Иран (IR),oil_tanker
9424273,,OLYMPIC LIGHT,Танкер для сырой нефти (VLCC — Very Large Crude Carrier),317106.0,11.0,Греция,oil_tanker
9588299,241623000.0,,Oil Tanker,317053.0,16.6,Греция (GRC).,oil_tanker
9419474,,APOLYTARES,Нефтяной танкер (VLCC — Very Large Crude Carrier),316679.0,12.1,Греция,oil_tanker
9237785,,NIRETAIMO номер: 9237785,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),316476.0,8.8,Вануату (Vanuatu),oil_tanker
9501162,,DABA,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),316373.0,22.0,Маршалловы острова,oil_tanker
9387542,,KAOMBO NORTE (бывшее название: OLYMPIA),"FPSO (Плавучая установка для добычи, хранения и отгрузки нефти)",315981.0,,Багамские Острова,oil_tanker
9816323,,ALMI ATLASIMO номер: 9816323,Нефтеналивной танкер (VLCC — Very Large Crude Carrier),315221.0,11.3,Либерия,oil_tanker
9191400,,KELLY,Супертанкер (VLCC — Very Large Crude Carrier),314026.0,,"Панама Основные габариты: Длина (LOA) — 333.00 м, ширина — 60.00 м",oil_tanker
9250622,,RENE (бывш. KAIMON II)IMO номер: 9250622,Супертанкер (VLCC — Very Large Crude Carrier),314014.0,3.0,Панама,oil_tanker
9448700,,,Oil Tanker,314000.0,10.7,Саудовская Аравия.,oil_tanker
9529956,,JAMAICA PROSPERITY,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),314000.0,11.7,Либерия (Liberia),oil_tanker
9643271,,YASA SCORPIONТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier),Нефтяной танкер (VLCC — Very Large Crude Carrier),313998.0,11.0,"Маршалловы острова IMO номер: 9643271 Год постройки: 2013 (верфь Hyundai Samho Heavy Industries, Южная Корея)",oil_tanker
9605205,,C. PROGRESSТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier),Нефтяной танкер (VLCC — Very Large Crude Carrier),313990.0,,"Панама IMO номер: 9605205 Год постройки: 2012 (верфь Hyundai Heavy Industries, Южная Корея)",oil_tanker
9686364,,NEW VOYAGEIMO номер: 9686364,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),313990.0,,Гонконг (Китай),oil_tanker
9770696,,TAKASAGOТип судна: Танкер для сырой нефти (VLCC — Very Large Crude Carrier),Танкер для сырой нефти (VLCC — Very Large Crude Carrier),313989.0,11.0,"Панама IMO номер: 9770696Год постройки: 2017 (верфь Japan Marine United Corporation, Япония)",oil_tanker
9321299,372495000.0,,Crude Oil Tanker (супертанкер класса VLCC),313987.0,,Панама,oil_tanker
9421984,,C. DIGNITY,Танкер для сырой нефти (Crude Oil Tanker / VLCC),313875.0,10.5,Панама,oil_tanker
9422146,,C. ETERNITYIMO номер: 9422146,Нефтеналивной танкер (VLCC — Very Large Crude Carrier),313875.0,,Панама,oil_tanker
9916185,,NAVE CELESTEТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),313418.0,,Либерия IMO номер: 9916185 Год постройки: 2022,oil_tanker
9404924,,C. GALAXY,Нефтяной танкер (VLCC — Very Large Crude Carrier),313405.0,10.5,Панама,oil_tanker
9205081,,WINSON NO.5,Танкер для сырой нефти (Crude Oil Tanker),312679.0,10.8,Мозамбик,oil_tanker
9827358,,TENRYU,Танкер для сырой нефти (VLCC — Very Large Crude Carrier),312611.0,10.8,Либерия,oil_tanker
9782508,,KIRISHIMA,Нефтяной танкер класса VLCC (Very Large Crude Carrier),312539.0,,Панама,oil_tanker
9913951,,TAGA,Танкер для сырой нефти (Crude Oil Tanker),312306.0,,Либерия,oil_tanker
9851608,,ENEOS GLORY,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),312217.0,15.4,Панама,oil_tanker
9891995,,ENEOS DREAM,Супертанкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),312168.0,11.4,Япония,oil_tanker
9855484,,ESTEEM EXPLORER,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),312135.0,19.0,Панама,oil_tanker
9839856,,MAYASAN,Танкер для перевозки сырой нефти (VLCC),312006.0,,Япония,oil_tanker
9878644,,YOHO,Супертанкер (VLCC — Very Large Crude Carrier),312006.0,,Либерия,oil_tanker
9910117,,TATESHINAТип судна: Супертанкер для сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),Супертанкер для сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),311979.0,10.9,"ЛиберияIMO номер: 9910117 Год постройки: 2021 (верфь Nantong COSCO KHI, Китай)",oil_tanker
9828950,,SUZUKASANТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),311854.0,11.2,"Япония IMO номер: 9828950 Год постройки: 2018 (верфь Hitachi Zosen Corp., Япония)",oil_tanker
9828962,,PHOENIX JAMNAGAR,Танкер для сырой нефти (Crude Oil Tanker / VLCC),311798.0,15.5,Сингапур,oil_tanker
9805099,351915000.0,TEDORIGAWA,"Crude Oil Tanker (нефтяной танкер, класс VLCC)",311790.0,7.0,Панама,oil_tanker
1042500,,TARA,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),311624.0,19.9,Либерия,oil_tanker
9848223,,TOYA,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),311393.0,,"Панама Основные габариты: Длина (LOA) — 340.00 м, ширина — 60.00 м",oil_tanker
9294329,371595000.0,,Crude Oil Tanker,311389.0,,Панама,oil_tanker
9169691,,CS PROSPERITY,FSO (Floating Storage and Offloading unit — плавучее нефтехранилище),311224.0,21.8,Маршалловы Острова,oil_tanker
9174397,649114000.0,"ARES (ранее LISA, MELISSA AMY, SINO MACRO, WINSON NO. 6, DS COMMANDER)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",311168.0,11.0,Мали (ML),oil_tanker
9478676,432831000.0,TAKAMATSU MARU,"Crude Oil Tanker (нефтяной танкер, класс VLCC — Very Large Crude Carrier)",311087.0,10.7,Япония,oil_tanker
9799147,477191800.0,,Crude Oil Tanker (супертанкер класса VLCC),311054.0,,Гонконг,oil_tanker
9910181,,TOWA MARU,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),311028.0,18.7,Япония,oil_tanker
7379993,,FPSO SAXI BATUQUE,"FPSO (Плавучая установка для добычи, хранения и отгрузки нефти)",310991.0,,Багамские Острова,oil_tanker
9339997,352898743.0,SHIZUKISAN,Нефтяной танкер класса VLCC (Very Large Crude Carrier).,310984.0,,Панама.,oil_tanker
9513402,538003869.0,KAZUSA,"Crude Oil Tanker (нефтяной танкер, класс VLCC — Very Large Crude Carrier)",310406.0,19.2,Маршалловы Острова,oil_tanker
9562673,,,Oil Tanker,310339.0,10.5,Индия.,oil_tanker
9162163,750330000.0,"SKIPPER (исторические названия: TOYO, MAERA, ADISA)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",310309.0,21.4,Гайана (GY),oil_tanker
9164847,,"ELI AKASO (ранее: FARM, ARM, ARMADA ULYSSES, ULYSSES)","Плавучая установка для хранения и отгрузки нефти (FSO), бывший VLCC танкер",310137.0,10.3,Панама,oil_tanker
9439058,,"NORNS (бывш. ORIENT, LIMNIA, TSURUGA)",Танкер для сырой нефти (VLCC — крупнотоннажный танкер),309960.0,,Габон,oil_tanker
9224295,,OCTANS,Нефтяной танкер (VLCC — Very Large Crude Carrier),309371.0,,Никарагуа,oil_tanker
9416628,,XIN PU YANG,Танкер для сырой нефти (VLCC),309362.0,,Китай,oil_tanker
9238868,477722100.0,"MACHO QUEEN (ранее GIANT, GRACE, RED STEM, OLYMPIC LEGEND)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",309270.0,20.2,Гонконг (HK),oil_tanker
9416642,,XIN YONG YANG,Нефтяной танкер (VLCC — Very Large Crude Carrier),309266.0,,Китай,oil_tanker
9416654,,XIN SHEN YANG,Танкер для сырой нефти (VLCC — Very Large Crude Carrier),309189.0,,Китай,oil_tanker
9416630,413188000.0,,Нефтяной танкер класса VLCC (Very Large Crude Carrier).,309140.0,,Китай (CHN).,oil_tanker
9233753,,ATILA,Нефтяной танкер (VLCC),309064.0,11.0,"Гайана (указан в AIS, однако судно часто скрывает флаг или использует «удобные» юрисдикции).",oil_tanker
9205079,677019100.0,PEACE II (ранее: VALENTINE),Crude Oil Tanker (класс VLCC),308491.0,20.5,Танзания (ранее: Палау),oil_tanker
9723590,414214000.0,YUAN QIU HU,Crude Oil Tanker (класс VLCC — Very Large Crude Carrier),308371.0,11.0,Китай,oil_tanker
9727223,,BANGLADESH PROSPERITY,Танкер для сырой нефти (VLCC — Very Large Crude Carrier),308285.0,20.4,Либерия,oil_tanker
9681209,,YUAN CHUN HU,Супертанкер (VLCC — Very Large Crude Carrier),308013.0,20.6,Китай,oil_tanker
9902615,636020761.0,"BARAKAH (ранее MURBAN, CS SHANDONG VENTURE)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",307925.0,11.0,Либерия (LR),oil_tanker
9828780,,AWABI (бывш. LANDBRIDGE WISDOM),Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),307894.0,,Маршалловы Острова,oil_tanker
9900655,477708900.0,NEW ERA,Crude Oil Tanker (танкер для перевозки сырой нефти),307645.0,11.2,Гонконг,oil_tanker
9771755,563061700.0,XIN MAO YANG,Crude Oil Tanker (VLCC),307573.0,,Сингапур,oil_tanker
9900679,477735500.0,NEW COROLLA,Crude Oil Tanker (супертанкер класса VLCC для перевозки сырой нефти),307551.0,13.4,Гонконг,oil_tanker
9911991,,NEW SPLENDOR,Нефтяной танкер (VLCC — Very Large Crude Carrier),307469.0,11.0,Гонконг (Китай),oil_tanker
9799185,,NEW MELODY,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),307431.0,20.3,Гонконг (КНР),oil_tanker
9312511,,"MONACO LOYALTY (ранее NEPTUN, MAERSK NEPTUNE)",Танкер для перевозки сырой нефти (VLCC),307284.0,21.8,Маршалловы острова,oil_tanker
9358292,,"PLATA LUCKY (бывшее название: MAERSK NEWTON, NEWTON)",Нефтяной танкер класса VLCC (Very Large Crude Carrier),307284.0,12.3,Либерия,oil_tanker
9180891,,PHOENIX STAR,FSO (Floating Storage and Offloading unit — плавучее нефтехранилище),307151.0,20.5,Таиланд,oil_tanker
9799214,477372400.0,NEW TREASURE,"Crude Oil Tanker (супертанкер, VLCC)",307105.0,11.0,Гонконг,oil_tanker
9230878,,SA CAPRICORN,FSO (Floating Storage and Offloading unit — плавучее нефтехранилище),306999.0,17.1,Багамские Острова,oil_tanker
9292498,,NIOVI,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),306997.0,20.3,Панама,oil_tanker
9912000,,NEW ADEN,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),306474.0,20.4,Гонконг (Китай),oil_tanker
9322267,,ASGARD,Нефтяной танкер (VLCC — Very Large Crude Carrier),306431.0,,Россия,oil_tanker
9294290,,KIRIN STAR,FSO (Floating Storage and Offloading unit — плавучее нефтехранилище),306352.0,16.0,Таиланд,oil_tanker
9240512,987109000.0,CARINA,Crude Oil Tanker (Крупнотоннажный танкер для перевозки сырой нефти),306314.0,11.2,Неизвестен (Unknown),oil_tanker
1097775,,ARISTOTELIS II,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),306113.0,11.0,Либерия,oil_tanker
9180255,,"GALILEAN 7 (ранее: RIDGEBURY PRIDE, PRIDE, BRITISH PRIDE)","Плавучая установка для хранения и отгрузки нефти (FSO), бывший VLCC танкер",305796.0,23.0,Маршалловы острова,oil_tanker
9292163,518999103.0,"BERTHA (исторические названия: MONICA S, FRONT FORCE, ONOBA, SEA FORCE)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",305442.0,21.5,Острова Кука (CK),oil_tanker
9535058,,HAKUSAN,Супертанкер (VLCC — Very Large Crude Carrier),305350.0,,Япония,oil_tanker
9244867,,SA JEWEL,FSO (Floating Storage and Offloading unit — плавучее нефтехранилище),305178.0,16.9,Багамские Острова,oil_tanker
1090777,,NEW EXPLORERIMO номер: 1090777,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),304627.0,19.1,"Гонконг Основные габариты: Длина общая (LOA) — 333.00 м, ширина — 60.00 м",oil_tanker
9259331,,SUGAR APPLUS (бывшее название EURODESTINY),Супертанкер для сырой нефти (VLCC),303896.0,,Камерун (удобный флаг),oil_tanker
9294563,,PIS PIONEER,Танкер для сырой нефти (Crude Oil Tanker),303430.0,10.7,Панама,oil_tanker
9788320,,FRONT EARL,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),303121.0,10.8,Маршалловы острова,oil_tanker
9220964,,ST3,Танкер для сырой нефти (Crude Oil Tanker),302977.0,11.5,Маршалловы острова,oil_tanker
9735373,,GEM NO. 2,Танкер для перевозки сырой нефти (VLCC),302783.0,,Панама,oil_tanker
9346952,,ASHOKA,Нефтяной танкер (VLCC — Very Large Crude Carrier),302550.0,11.0,"Либерия Основные габариты: Длина общая (LOA) — 333.00 м, ширина — 60.00 м",oil_tanker
9313137,,YAMATOGAWA,Супертанкер (VLCC — Very Large Crude Carrier),302488.0,,Япония,oil_tanker
9397145,,ATLANTIC PIONEERIMO номер: 9397145,Танкер для перевозки сырой нефти (VLCC),302303.0,20.6,Панама,oil_tanker
