snapshot_date,imo,dwt,displacement,loa,beam,draft,speed,age,build_year,flag,vessel_type,nav_status,risk_level,origin_port,destination_port,vessel_name,mmsi,eta,route_context,ais_integrity
2026-09-09,9321732,172100.0,209962.0,283.0,43.0,9.3,0.2,20.0,2006,Мальта,Танкер для сжиженного природного газа (LNG Tanker).,At Anchor / На якорной стоянке,LOW,"Sabetta, Russia (RU SAB)",Рас-Лаффан,MILAHA QATAR,229970902,"1 ноября 2026 г., 22:45 UTC",Популярный европейский реестр с высоким уровнем соответствия международным стандартам безопасности,0.0
2026-09-09,9397327,172050.0,209901.0,315.16,50.0,12.4,14.5,11.0,2015,MARSHALL ISLANDS,LNG Tanker (Танкер для перевозки сжиженного природного газа),"Underway using Engine (На ходу, используется двигатель)",HIGH,"QA RLF (Ras Laffan, Катар)","PK BQM / Port Qasim, PAKISTAN",AL KHARAITIYAT,538003352,5 мая 2026 г. в 22:17 (UTC+5),Маршалловы Острова,0.0
2026-09-09,9948695,171350.0,209047.0,299.0,46.12,8.7,14.0,23.0,2003,MARSHALL ISLANDS,LNG Tanker (Танкер для перевозки сжиженного природного газа),At Anchor / На якорной стоянке,LOW,"ALTAMIRA ANCH (Якорная стоянка Альтамира, Мексика)","IN MRM (Мормугао, Индия)",ENERGY ENDURANCE,9948695,9 июня 2026 г,Маршалловы Острова,0.0
2026-09-09,9636723,170050.0,207461.0,294.2,44.0,11.4,16.8,6.0,2020,Мальта,Танкер для перевозки сжиженного природного газа (LNG Tanker),На ходу с использованием двигателя (Underway using Engine),LOW,"Калхат, Оман","Индийский океан, для получения приказов (INDIAN OC. FOR ORDERS)",KITA LNG,229482292,"5 сентября 2026 г., 09:15 UTC","Танкер для перевозки сжиженного природного газа · флаг: Мальта · маршрут: Калхат, Оман → Индийский океан, для получения приказов (INDIAN OC. FOR ORDERS) · На ходу с использованием двигателя (Underway using Engine)",0.0
2026-09-09,9762273,169950.0,207339.0,299.0,47.0,11.0,14.0,2.0,2024,MARSHALL ISLANDS,LNG Tanker (Танкер СПГ).,Stopped (Остановлено),LOW,"US CMU (Cameron, США)","EG AIS (Ain Sukhna, Египет)",FLEX ENTERPRISE,538010101,"27 сентября 2026 г., 17:45 UTC",Маршалловы Острова,0.0
2026-09-09,1045112,168967.0,243515.0,377.0,82.0,12.5,14.0,1.0,2025,Либерия,Плавучий завод по сжижению природного газа / FLNG (Floating Liquefied Natural Gas / Offshore Support Vessel),стационарный или находящийся на финальных этапах транспортировки / позиционирования технологический объект,LOW,"Sabine Pass LNG, USA (US SAB)","Пуэнт-Нуар, Конго (Pointe Noire, Congo)",NGUYA FLNG,636023651,26 ноября 2026 г,"Плавучий завод по сжижению природного газа / FLNG · флаг: Либерия · следует в: Пуэнт-Нуар, Конго (Pointe Noire, Congo) · стационарный или находящийся на финальных этапах транспортировки · возраст: 1 лет",0.0
2026-09-09,9750256,168800.0,205936.0,290.0,46.95,11.4,19.1,25.0,2001,Гонконг [HK],LNG Tanker (Танкер-газовоз),Underway using Engine / В пути,LOW,"US CCU (Corpus Christi, США)","Barcelona Regas, Spain (ES BCN)",ARCTIC 0256,477180400,"30 августа 2026 г., 03:15 UTC","LNG Tanker · флаг: Гонконг [HK] · отход: US CCU (Corpus Christi, США) · Underway using Engine",0.0
2026-09-09,9074640,168150.0,205143.0,289.14,48.19,9.5,13.8,32.0,1994,Либерия,Газовоз (LNG Tanker).,Underway using Engine / В пути,LOW,"Corpus Christi LNG, USA (US CRP)","Хор-Факкан (AE KLF), ОАЭ",AL HAMRA,636789443,30 июня 2026 г. в 08:04 (UTC+4),"Легитимная международная юрисдикция, высокая прозрачность флота",0.0
2026-09-09,9388821,167300.0,204106.0,345.0,55.03,9.4,0.8,10.0,2016,МАРШАЛЛОВЫ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Янцзян (Янцзян), Китай (CN YKG)","Shanghai LNG, China (CN SHA)",AL SAMRIYA,538177482,"16 сентября 2026 г., 06:45 UTC",MARSHALL ISLANDS,0.0
2026-09-09,9333618,167100.0,203862.0,288.0,44.0,11.3,18.1,4.0,2022,МАЛЬТА,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Пойнт-Фортин, Тринидад и Тобаго (TT PTF)",PACIFIC OCEAN (Тихий океан),COOL ROVER,215673106,"14 октября 2026 г., 07:00 UTC",MALTA,0.0
2026-09-09,9431214,167000.0,203740.0,345.0,54.0,9.5,0.4,18.0,2008,Маршалловы Острова,Танкер для перевозки сжиженного природного газа (LNG Tanker),На якоре (At anchor),LOW,"Сан-Порт, Китай (CN BHX)",«FOR ORDERS» (Судно следует в ожидании коммерческих распоряжений),ZARGA,538700110,"15 октября 2026 г., 18:30 UTC","Танкер для перевозки сжиженного природного газа · флаг: Маршалловы Острова · маршрут: Сан-Порт, Китай (CN BHX) → «FOR ORDERS» (Судно следует в ожидании коммерческих распоряжений) · На якоре (At anchor)",0.0
2026-09-09,9360855,166550.0,203191.0,315.0,50.0,9.3,0.1,21.0,2005,MARSHALL ISLANDS,LNG Tanker (Танкер для перевозки СПГ / класс Q-Flex),At Anchor (На якоре),LOW,"QA RLF (Рас-Лаффан, Катар)","QA RLF (Рас-Лаффан, Катар)",AL SAHLA,9360855,"31 августа 2026 г., 21:00 UTC",Маршалловы Острова,0.0
2026-09-09,9750232,165350.0,201727.0,290.0,46.95,9.5,15.8,7.0,2019,Гонконг [HK],LNG Tanker (Танкер-газовоз),Under way using engine,LOW,"JP HIM (Химедзи, Япония)",балласте (пустым). Это подтверждает завершение разгрузки в Японии и переход к следующему циклу,GAS 0232,477142700,"12 сентября 2026 г., 23:30 UTC","LNG Tanker · флаг: Гонконг [HK] · маршрут: JP HIM (Химедзи, Япония) → балласте (пустым). Это подтверждает завершение разгрузки в Японии и переход к следующему циклу · Underway using Engine",0.854
2026-09-09,9621077,164550.0,200751.0,288.0,49.0,9.4,0.0,24.0,2002,БАГАМСКИЕ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),At anchor,LOW,"Йоккаити, Япония (JP YKK)",RU PGN,PACIFIC ARCADIA,311072200,26 мая 2026 г,BAHAMAS,0.419
2026-09-09,9325685,161150.0,196603.0,288.0,43.45,9.5,0.2,14.0,2012,Багамские Острова,Газовоз (LNG Tanker),На якоре (At anchor),LOW,"Рас-Лаффан, Катар (QA RLF)",«FOR ORDERS» (Судно следует в ожидании коммерческих распоряжений),AL MARROUNA,308235122,"25 октября 2026 г., 09:15 UTC",Bahamas,0.0
2026-09-09,9250713,160850.0,196237.0,276.99,43.4,11.9,14.0,6.0,2020,MALTA,LNG Tanker (Танкер для перевозки сжиженного природного газа),At Anchor (На якоре),LOW,"QA RLF (Рас-Лаффан, Катар)",INDIAN GOVT. SHIP (согласно Reported destination),DISHA,215533000,4 мая 2026 г,Мальта,0.0
2026-09-09,9953509,160350.0,195627.0,293.0,45.85,9.2,18.1,6.0,2020,Россия,Танкер-газовоз (LNG Tanker),Underway using Engine / В пути,EXTREME,"Angola LNG, Angola (AO LNG)","Shanghai LNG, China (CN SHA)",BURAN,273690662,"29 октября 2026 г., 04:00 UTC",Танкер-газовоз · флаг: Россия · Underway using Engine,0.0
2026-09-09,9388833,159750.0,194895.0,345.28,53.83,9.4,14.0,5.0,2021,Marshall Islands,LNG Tanker (Танкер для перевозки сжиженного природного газа),At Anchor (На якоре),LOW,"TH MAT (Мап-Та-Пхут, Таиланд)","MUMBAI ANCH (Мумбаи, Индия)",BU SAMRA,9388833,"1 ноября 2026 г., 07:30 UTC",Маршалловы Острова,0.0
2026-09-09,9965435,159400.0,194468.0,298.5,46.44,9.4,15.3,19.0,2007,Либерия [LR],LNG Tanker (Танкер-газовоз),Underway using Engine / В пути,LOW,SG SIN (Сингапур),балласте (пустым). После разгрузки в Юго-Восточной Азии танкер возвращается на терминал Oman LNG в Кальхате (OM QAL) для приема новой партии сжиженного газа,ENERGY 5435,636023768,01 мая 2026 г,LNG Tanker · флаг: Либерия [LR] · маршрут: SG SIN (Сингапур) → балласте (пустым). После разгрузки в Юго-Восточной Азии танкер возвращается на терминал Oman LNG в Кальхате (OM QAL) для приема новой партии сжиженного газа · Underway using Engine,0.0
2026-09-09,9972373,158200.0,193004.0,290.0,45.83,11.5,14.0,12.0,2014,LIBERIA,LNG Tanker (Танкер для перевозки сжиженного природного газа).,Moored (Пришвартовано),LOW,"US NSS (Sabine Pass, США)","US POA (Порт-Артур, США)",HL SEA EAGLE,9972373,25 мая 2026 г,Либерия,0.0
2026-09-09,1023425,157930.0,84246.0,274.0,48.0,15.8,2.2,1.0,2025,Маршалловы Острова,LNG Tanker / LNGC,At Anchor / На якорной стоянке,LOW,Singapore (SG SIN),"Fujairah, UAE (AE FUJ)",OCEAN 3425,538011161,"5 сентября 2026 г., 12:00 UTC",флаг: Маршалловы Острова · At Anchor · возраст: 1 лет,0.0
2026-09-09,9210828,154100.0,188002.0,290.0,46.28,9.0,0.0,8.0,2018,Либерия,LNG Tanker (Танкер для перевозки сжиженного природного газа),Moored,LOW,"RU PGN (Пригородное, Россия — терминал СПГ проекта «Сахалин-2»), выход 23 апреля 2026 г., 10:49 UTC+11",RU PGN,ENERGY 0828,636022142,"31 августа 2026 г., 07:15 UTC",Liberia,0.414
2026-09-09,9325697,153000.0,186660.0,288.2,43.4,9.1,12.1,25.0,2001,БАГАМСКИЕ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),На ходу (Underway using Engine),LOW,Адриатический СПГ-терминал (Adriatic LNG),«WAITING FOR ORDERS» (Судно следует в ожидании дальнейших распоряжений),AL AREESH,311038000,"1 сентября 2026 г., 14:00 UTC",BAHAMAS,0.0
2026-09-09,9980540,152600.0,186172.0,299.0,47.0,9.7,13.1,15.0,2011,ФРАНЦИЯ,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Йоккаити, Япония (JP YKK)",США (US XXX),ELISA ARDEA,228508816,1 июля 2026 г,FRANCE,0.0
2026-09-09,9917567,151850.0,185257.0,298.97,46.43,11.6,12.1,2.0,2024,ПАНАМА,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Китимат, Канада (CA KTM)","Пхёнтхэк, Южная Корея (KR PTK)",SM GOLDEN EAGLE,353954409,20 мая 2026 г,PANAMA,0.0
2026-09-09,9904209,146950.0,179279.0,296.87,46.43,11.3,14.0,23.0,2003,Норвегия [NO],LNG Tanker (Танкер-газовоз),Underway using Engine / В пути,LOW,"NG BON (Бонни, Нигерия)","Tianjin, China (CN TJN)",ENERGY 4209,311001093,"2 сентября 2026 г., 14:15 UTC","LNG Tanker · флаг: Норвегия [NO] · отход: NG BON (Бонни, Нигерия) · Underway using Engine",0.0
2026-09-09,9317200,146100.0,178242.0,89.23,15.3,4.5,0.2,3.0,2023,ЯПОНИЯ,LNG Tanker (Танкер для перевозки сжиженного природного газа),At anchor,LOW,"Исикари, Япония (JP ISI)",>JP ISW OFF,NORTH PIONEER,431301776,20 мая 2026 г,JAPAN,0.656
2026-09-09,9888481,145550.0,177571.0,299.0,47.0,11.4,12.3,17.0,2009,PANAMA,Tanker / LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine / В пути,LOW,"US FPO (Фрипорт, Техас, США)","PA CTB (Кристобаль, Панама)",PRISM COURAGE,9888481,12 мая 2026 г,Панама,0.0
2026-09-09,9873852,145250.0,177205.0,294.9,46.4,11.3,19.0,8.0,2018,СИНГАПУР,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Пойнт-Фортин, Тринидад и Тобаго (TT PTF)","Дахедж, Индия (IN DAH)",BW HELIOS,563803048,23 мая 2026 г,SINGAPORE,0.0
2026-09-09,5233573,144900.0,176778.0,290.0,46.0,8.6,11.3,8.0,2018,Япония,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"SIKKA ANCH (Сикка, Индия)",Данные о конечном порте (TBA) на момент последнего сигнала не были обновлены,LNG JAMAL,432278000,"27 октября 2026 г., 09:30 UTC",JAPAN,0.0
2026-09-09,9981427,144300.0,176046.0,299.0,47.0,9.2,11.4,8.0,2018,ФРАНЦИЯ,LNG Tanker (Танкер для перевозки сжиженного природного газа / газовоз),Under way using engine,LOW,"Ульсан, Южная Корея (KR USN)",USCMU,AL NIGYAN,228482600,20 мая 2026 г. в 10:04 (UTC+9),FRANCE,0.409
2026-09-09,9690145,143900.0,175558.0,292.0,47.8,9.3,13.8,13.0,2013,Бермудские острова,LNG Tanker (Специализированный газовоз для перевозки СПГ),Underway using Engine (На ходу),LOW,"IN DAH (Дахедж, Индия)","MU PLU (Порт-Луи, Маврикий)",LNG FINIMA II,310722000,04 мая 2026 г. в 08:30 (UTC+4),BERMUDA,0.0
2026-09-09,9864667,143150.0,174643.0,299.0,46.4,11.6,11.3,2.0,2024,Мальта,LNG Tanker (Газовоз СПГ),Underway using Engine (На ходу),LOW,"US CP6 (Коув-Пойнт, Мэриленд, США)",FOR ORDERS (Ожидает распоряжений),VIVIT AMERICAS LNG,215574000,"16 октября 2026 г., 01:30 UTC",MALTA,0.0
2026-09-09,9962421,140350.0,171227.0,299.0,47.0,9.3,12.3,6.0,2020,БЕРМУДСКИЕ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Сакай, Япония (JP SAK)","Эшбертон, АВСТРАЛИЯ (AU ASB)",WOODSIDE JIRRUBAKURA,636152051,5 июня 2026 г,"международных энергетических перевозках. Текущая осадка (9.3 м) характерна для судна, следующего в балласте или с частичной загрузкой на длинную дистанцию",0.0
2026-09-09,9986635,137850.0,168177.0,4.0,1.0,10.7,14.0,9.0,2017,SINGAPORE,LNG Tanker (Танкер для перевозки сжиженного природного газа),At Anchor (На якоре),LOW,"QA RLF (Рас-Лаффан, Катар)",QA RLF (согласно Reported destination),MIHZEM,563274300,4 мая 2026 г,Сингапур,0.0
2026-09-09,9397303,136740.0,166823.0,345.0,53.0,9.4,1.8,17.0,2009,МАРШАЛЛОВЫ ОСТРОВА,LNG Carrier (Танкер для перевозки сжиженного природного газа),"Underway (на ходу, однако данные устарели на 17 дней)",EXTREME,"Ras Laffan, Qatar (QA RLF)",порт Сингапура. Учитывая спецификацию судна и флаг,MEKAINES,538003365,"11 сентября 2026 г., 15:30 UTC",MARSHALL ISLANDS,0.0
2026-09-09,9377547,135800.0,165676.0,285.0,43.0,9.0,0.0,15.0,2011,Мальта,LNG Tanker (Танкер для перевозки сжиженного природного газа),At anchor,LOW,"Дахедж, Индия (IN DAH)","Кочин (рейдовая стоянка), Индия (Cochin Anch, India)",ASEEM,249700000,"12 сентября 2026 г., 14:15 UTC",MALTA,0.853
2026-09-09,9862918,133400.0,162748.0,299.08,46.43,11.6,17.8,22.0,2004,GREECE,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine / В пути,LOW,"US NSS (Сабин-Пасс, США)",FOR ORDERS (Ожидание распоряжений),ARISTARCHOS,9862918,"8 октября 2026 г., 04:15 UTC",Греция,0.0
2026-09-09,9969388,132750.0,161955.0,299.0,47.0,9.0,14.0,3.0,2023,FRANCE,LNG Tanker (Танкер для перевозки сжиженного природного газа).,Underway using Engine / В пути,LOW,"Cove Point LNG, USA (US COV)","Лейк-Чарльз, США (Lake Charles, UNITED STATES OF AMERICA)",IGNACY JAN PADEREWSKI,9969388,9 мая 2026 г,Франция,0.0
2026-09-09,9834296,132700.0,161894.0,298.58,48.03,11.5,16.1,26.0,2000,HONG KONG,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу под двигателем),LOW,"FR MTX (Монтуар, Франция)",FOR ORDERS (По распоряжению),LNG DUBHE,9834296,"30 октября 2026 г., 04:15 UTC",Гонконг,0.0
2026-09-09,9945435,132450.0,161589.0,293.0,45.83,11.2,14.1,8.0,2018,МАРШАЛЛОВЫ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway using Engine (На ходу),LOW,"Инчхон, Южная Корея (KR INC)","PT PTF (вероятно, порт назначения в системе отслеживания)",CELSIUS GENEVA,538066585,"16 октября 2026 г., 11:00 UTC",MARSHALL ISLANDS,0.0
2026-09-09,9904704,131050.0,159881.0,299.0,47.0,9.5,0.4,20.0,2006,РОССИЯ,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway (На ходу),LOW,"Большой Камень, Россия (RU BKN)","SEATRIAL ZVEZDA-045 (Ходовые испытания, ССК «Звезда», заказ 045)",KONSTANTIN POSIET,273156011,"25 октября 2026 г., 21:30 UTC",RUSSIA,0.0
2026-09-09,9397315,130441.0,159138.0,345.28,53.8,9.4,1.3,14.0,2012,МАРШАЛЛОВЫ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),На ходу (Underway using Engine),LOW,"Инчхон, Южная Корея (KR INC)","Grain LNG, UK (GB GRA)",AL MAFYAR,538003357,"7 сентября 2026 г., 13:15 UTC",MARSHALL ISLANDS,0.0
2026-09-09,9443413,130208.0,163922.0,345.0,53.8,12.1,14.1,16.0,2010,Маршалловы Острова,"СПГ-танкер (LNG Tanker, Q-Max)",Underway using Engine / В пути,LOW,"Corpus Christi LNG, USA (US CRP)",порт Цаофейдянь (Caofeidian),RASHEEDA,538676936,"28 сентября 2026 г., 04:30 UTC","Примечание: в данных AIS указан Оман, однако исторически и по реестрам судно зарегистрировано под флагом Маршалловых Островов как часть катарского флота",0.0
2026-09-09,9418365,130102.0,163922.0,345.0,53.8,9.5,14.3,17.0,2009,Маршалловы Острова,"СПГ-танкер (LNG Tanker, Q-Max)",At Anchor / На якорной стоянке,LOW,"Hammerfest LNG, Norway (NO HAM)",район оперативного назначения,SHAGRA,538732362,"9 октября 2026 г., 20:30 UTC",СПГ-танкер · флаг: Маршалловы Острова · следует в: район оперативного назначения · At Anchor · возраст: 17 лет,0.0
2026-09-09,9337755,130102.0,163922.0,345.33,53.8,9.5,5.7,18.0,2008,Маршалловы Острова,"СПГ-танкер (LNG Tanker, Q-Max)",Underway using Engine / В пути,LOW,"Sabine Pass LNG, USA (US SAB)","Grain LNG, UK (GB GRA)",MOZAH,538441628,"2 сентября 2026 г., 20:30 UTC",СПГ-танкер · флаг: Маршалловы Острова · Underway using Engine · возраст: 18 лет,0.0
2026-09-09,9360843,127500.0,155550.0,314.0,50.04,9.3,17.3,16.0,2010,Маршалловы Острова,Танкер для перевозки сжиженного природного газа (LNG Tanker),На ходу с использованием двигателя,LOW,Сингапур (Singapore Anch. 1),"Рас-Лаффан, Катар (QA RLF)",AL SHEEHAN,538263067,"12 октября 2026 г., 19:45 UTC","Танкер для перевозки сжиженного природного газа · флаг: Маршалловы Острова · маршрут: Сингапур (Singapore Anch. 1) → Рас-Лаффан, Катар (QA RLF) · На ходу с использованием двигателя",0.0
2026-09-09,9994046,126150.0,153903.0,166.0,24.4,5.7,14.1,5.0,2021,СИНГАПУР,LNG Tanker (Танкер для перевозки сжиженного природного газа / Бункеровщик ЛНГ),Restricted Manoeuvrability (Ограниченная маневренность),LOW,"Самчхок, Южная Корея (KR SAM / Samcheok, South Korea)",HMD H.8395 SEA TRIAL,NEW FRONTIER 2,565951614,"29 августа 2026 г., 21:00 UTC",SINGAPORE,0.0
2026-09-09,9086734,124900.0,152378.0,297.5,45.75,10.5,14.0,26.0,2000,MARSHALL ISLANDS,LNG Tanker (Танкер для перевозки сжиженного природного газа),Underway (На ходу),LOW,"QA RLF (Рас-Лаффан, Катар)","RAS LAFFAN ANCH (Якорная стоянка Рас-Лаффан, Катар)",AL RAYYAN,538009768,4 мая 2026 г,Маршалловы Острова,0.0
2026-09-09,9397339,124700.0,152134.0,315.16,50.0,9.6,14.0,12.0,2014,MARSHALL ISLANDS,LNG Tanker (Танкер для перевозки сжиженного природного газа),At Anchor (На якоре),LOW,"CN BHX (Бэйхай, Китай)","MUMBAI ANCH (Мумбаи, Индия)",AL REKAYYAT,9397339,"10 октября 2026 г., 05:00 UTC",Маршалловы Острова,0.0
2026-09-09,9974606,124350.0,151707.0,299.0,47.0,9.3,1.1,18.0,2008,БАГАМСКИЕ ОСТРОВА,LNG Tanker (Танкер для перевозки сжиженного природного газа),Restricted Manoeuvrability (Ограниченная маневренность),LOW,"Анъён, Южная Корея (KR ANJ / Anjeong, South Korea)",SEA TRIAL HWO.2552,LAKE MODRO,308953626,"31 октября 2026 г., 15:15 UTC",BAHAMAS,0.0
2026-09-09,9373008,124150.0,151463.0,285.4,43.4,8.8,13.8,2.0,2024,ПАНАМА,LNG Tanker (Танкер для перевозки сжиженного природного газа),"Underway using Engine (В пути, под управлением главного двигателя)",LOW,"Люхэн, Китай (CN LHE / Liuheng, China)",KRJSP,K.JASMINE,372855811,"2 октября 2026 г., 13:15 UTC",PANAMA,0.0
